,SMA_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,44.5638
2014-04-30,44.2992
2014-05-30,44.5345
2014-06-30,44.7890
2014-07-31,47.0624
2014-08-29,48.7359
2014-09-30,50.1124
2014-10-31,49.4465
2014-11-28,49.6751
2014-12-31,50.5615
2015-01-30,52.0791
2015-02-27,53.4769
2015-03-31,55.7018
2015-04-30,58.5151
2015-05-29,59.4870
2015-06-30,59.0901
2015-07-31,57.3810
2015-08-31,54.5652
2015-09-30,51.8518
2015-10-30,49.9342
2015-11-30,49.4893
2015-12-31,48.0219
2016-01-29,44.0906
2016-02-29,40.4351
2016-03-31,40.2290
2016-04-29,42.9723
2016-05-31,44.4257
2016-06-30,44.6169
2016-07-29,45.5449
2016-08-31,47.4514
2016-09-30,48.2685
2016-10-31,47.7210
2016-11-30,47.7871
2016-12-30,50.5305
2017-01-31,53.6750
2017-02-28,55.8994
2017-03-31,56.2960
2017-04-28,56.4774
2017-05-31,58.3042
2017-06-30,61.1812
2017-07-31,62.4686
2017-08-31,61.8911
2017-09-29,62.6679
2017-10-31,65.6942
2017-11-30,69.6820
2017-12-29,73.2023
2018-01-31,77.6388
2018-02-28,80.2203
2018-03-30,0
2018-04-30,79.4676
2018-05-31,79.7054
2018-06-29,80.5298
2018-07-31,80.6597
2018-08-31,78.5880
2018-09-28,77.9033
2018-10-31,75.0455
2018-11-30,73.7317
2018-12-31,71.3506
2019-01-31,71.4071
2019-02-28,73.4449
2019-03-29,77.8152
2019-04-30,83.2808
2019-05-31,87.3749
2019-06-28,90.5412
2019-07-31,94.0320
2019-08-30,94.8490
2019-09-30,94.2139
2019-10-31,93.0339
2019-11-29,95.5532
2019-12-31,100.6734
2020-01-31,106.1595
2020-02-28,108.5834
2020-03-31,96.8392
2020-04-30,82.9562
2020-05-29,72.0765
2020-06-30,74.9878
2020-07-31,76.9767
2020-08-31,79.9363
2020-09-30,84.1433
2020-10-30,88.5075
2020-11-30,93.1020
2020-12-31,99.7758
2021-01-29,105.6627
2021-02-26,109.4160
2021-03-31,115.6862
2021-04-30,122.1807
2021-05-31,0
2021-06-30,124.8867
2021-07-30,124.3957
2021-08-31,124.9200
2021-09-30,126.4935
2021-10-29,132.3845
2021-11-30,139.4128
2021-12-31,144.3808
2022-01-31,145.7028
2022-02-28,147.7093
2022-03-31,147.1972
