,SMA_daily_60
2000-01-31,5.4007
2000-02-29,5.3823
2000-03-31,5.3860
2000-04-28,5.4014
2000-05-31,4.9047
2000-06-30,4.3287
2000-07-31,3.8820
2000-08-31,3.9850
2000-09-29,4.1691
2000-10-31,4.3055
2000-11-30,4.3371
2000-12-29,4.4729
2001-01-31,4.7373
2001-02-28,5.1382
2001-03-30,5.6933
2001-04-30,6.1885
2001-05-31,6.7599
2001-06-29,7.3732
2001-07-31,8.0837
2001-08-31,8.7990
2001-09-28,9.1501
2001-10-31,9.4965
2001-11-30,9.5700
2001-12-31,9.9170
2002-01-31,10.6007
2002-02-28,11.4551
2002-03-29,0
2002-04-30,11.7188
2002-05-31,11.4447
2002-06-28,11.4791
2002-07-31,11.7892
2002-08-30,12.1797
2002-09-30,12.4357
2002-10-31,12.1724
2002-11-29,11.0092
2002-12-31,10.3604
2003-01-31,10.1167
2003-02-28,10.2175
2003-03-31,10.3440
2003-04-30,10.3476
2003-05-30,10.4669
2003-06-30,10.6263
2003-07-31,11.1250
2003-08-29,11.3522
2003-09-30,11.2980
2003-10-31,11.5252
2003-11-28,12.0816
2003-12-31,13.1613
2004-01-30,14.1229
2004-02-27,14.9152
2004-03-31,14.8404
2004-04-30,13.9154
2004-05-31,0
2004-06-30,12.5587
2004-07-30,12.7086
2004-08-31,12.9932
2004-09-30,13.1076
2004-10-29,13.0072
2004-11-30,12.9908
2004-12-31,12.9789
2005-01-31,13.0309
2005-02-28,12.9703
2005-03-31,13.2541
2005-04-29,13.5570
2005-05-31,13.6988
2005-06-30,14.2381
2005-07-29,15.0136
2005-08-31,15.5663
2005-09-30,14.7901
2005-10-31,13.7955
2005-11-30,13.2410
2005-12-30,13.3035
2006-01-31,13.5476
2006-02-28,13.5317
2006-03-31,12.9979
2006-04-28,12.5276
2006-05-31,12.2560
2006-06-30,12.6240
2006-07-31,12.8135
2006-08-31,12.8007
2006-09-29,12.4144
2006-10-31,12.1606
2006-11-30,12.4498
2006-12-29,12.8302
2007-01-31,13.3141
2007-02-28,13.3810
2007-03-30,12.9250
2007-04-30,12.4762
2007-05-31,12.4884
2007-06-29,12.8743
2007-07-31,12.8860
2007-08-31,12.1213
2007-09-28,11.7175
2007-10-31,11.8619
2007-11-30,11.9147
2007-12-31,11.5762
2008-01-31,10.8519
2008-02-29,10.7714
2008-03-31,10.8717
2008-04-30,11.5808
2008-05-30,12.5137
2008-06-30,13.0590
2008-07-31,13.4479
2008-08-29,13.8077
2008-09-30,14.1956
2008-10-31,13.1272
2008-11-28,11.8806
2008-12-31,11.3163
2009-01-30,11.9682
2009-02-27,12.5348
2009-03-31,11.9403
2009-04-30,10.9197
2009-05-29,9.7750
2009-06-30,9.2279
2009-07-31,9.5037
2009-08-31,10.0671
2009-09-30,10.4449
2009-10-30,10.9967
2009-11-30,11.5355
2009-12-31,12.2729
2010-01-29,12.8802
2010-02-26,13.0204
2010-03-31,12.1508
2010-04-30,11.3168
2010-05-31,0
2010-06-30,10.5140
2010-07-30,9.8472
2010-08-31,9.3331
2010-09-30,8.7645
2010-10-29,8.1681
2010-11-30,7.9060
2010-12-31,7.9089
2011-01-31,8.1275
2011-02-28,8.3860
2011-03-31,9.1812
2011-04-29,10.2338
2011-05-31,10.8111
2011-06-30,10.7393
2011-07-29,10.3450
2011-08-31,9.8211
2011-09-30,9.3450
2011-10-31,9.2301
2011-11-30,9.5923
2011-12-30,10.0910
2012-01-31,10.5364
2012-02-29,10.8535
2012-03-30,11.1401
2012-04-30,11.1877
2012-05-31,10.8054
2012-06-29,10.5501
2012-07-31,10.6374
2012-08-31,11.0388
2012-09-28,11.3409
2012-10-31,11.6891
2012-11-30,12.1341
2012-12-31,12.5634
2013-01-31,13.3603
2013-02-28,14.8447
2013-03-29,0
2013-04-30,18.9439
2013-05-31,20.0527
2013-06-28,20.2389
2013-07-31,20.7928
2013-08-30,21.1636
2013-09-30,20.8679
2013-10-31,20.2732
2013-11-29,20.1094
2013-12-31,20.4829
2014-01-31,20.7505
2014-02-28,21.3628
2014-03-31,21.7769
2014-04-30,21.6542
2014-05-30,21.1317
2014-06-30,21.7128
2014-07-31,22.8815
2014-08-29,24.0338
2014-09-30,23.9408
2014-10-31,23.3778
2014-11-28,23.2749
2014-12-31,23.7541
2015-01-30,24.5762
2015-02-27,25.1100
2015-03-31,24.8994
2015-04-30,24.5194
2015-05-29,23.7588
2015-06-30,23.4395
2015-07-31,23.5110
2015-08-31,24.3064
2015-09-30,25.7120
2015-10-30,26.7169
2015-11-30,27.3199
2015-12-31,26.8977
2016-01-29,26.1434
2016-02-29,25.4996
2016-03-31,23.8960
2016-04-29,21.5895
2016-05-31,18.0859
2016-06-30,16.8727
2016-07-29,17.1229
2016-08-31,18.2114
2016-09-30,18.1306
2016-10-31,17.9563
2016-11-30,17.7267
2016-12-30,17.9165
2017-01-31,18.0475
2017-02-28,17.6393
2017-03-31,17.6569
2017-04-28,17.8584
2017-05-31,19.3471
2017-06-30,21.0357
2017-07-31,22.8687
2017-08-31,24.1416
2017-09-29,23.2569
2017-10-31,21.8795
2017-11-30,20.7918
2017-12-29,21.0601
2018-01-31,21.4670
2018-02-28,21.6926
2018-03-30,0
2018-04-30,21.5594
2018-05-31,22.1516
2018-06-29,21.9508
2018-07-31,21.2963
2018-08-31,20.8060
2018-09-28,21.2521
2018-10-31,21.7820
2018-11-30,22.3105
2018-12-31,22.5485
2019-01-31,22.4136
2019-02-28,21.4474
2019-03-29,20.8817
2019-04-30,21.1017
2019-05-31,22.0736
2019-06-28,23.1715
2019-07-31,23.9150
2019-08-30,23.9716
2019-09-30,22.7995
2019-10-31,21.5892
2019-11-29,21.1392
2019-12-31,21.0943
2020-01-31,21.0784
2020-02-28,20.5377
2020-03-31,18.4849
2020-04-30,15.6216
2020-05-29,13.9563
2020-06-30,14.3684
2020-07-31,14.3097
2020-08-31,13.7517
2020-09-30,13.5528
2020-10-30,14.7141
2020-11-30,15.7692
2020-12-31,16.1955
2021-01-29,15.9559
2021-02-26,16.3639
2021-03-31,17.9614
2021-04-30,19.8230
2021-05-31,0
2021-06-30,22.7264
2021-07-30,23.3771
2021-08-31,23.7758
2021-09-30,24.2464
2021-10-29,24.4984
2021-11-30,24.2163
2021-12-31,23.7222
2022-01-31,23.2570
2022-02-28,23.2659
2022-03-31,24.0849
