,SMA_daily_60
2000-01-31,5.4096
2000-02-29,5.5793
2000-03-31,5.7085
2000-04-28,5.7519
2000-05-31,5.7658
2000-06-30,5.7444
2000-07-31,5.5525
2000-08-31,5.5817
2000-09-29,5.7284
2000-10-31,5.9772
2000-11-30,6.1442
2000-12-29,6.2546
2001-01-31,6.3308
2001-02-28,6.4276
2001-03-30,6.5518
2001-04-30,6.6526
2001-05-31,6.5851
2001-06-29,6.4728
2001-07-31,6.3311
2001-08-31,6.2884
2001-09-28,6.3908
2001-10-31,6.6048
2001-11-30,6.5649
2001-12-31,6.4864
2002-01-31,6.4909
2002-02-28,6.5782
2002-03-29,0
2002-04-30,6.6192
2002-05-31,6.5279
2002-06-28,6.2552
2002-07-31,5.6905
2002-08-30,5.0641
2002-09-30,4.6977
2002-10-31,4.4620
2002-11-29,4.1636
2002-12-31,3.8538
2003-01-31,3.8658
2003-02-28,3.9141
2003-03-31,3.9376
2003-04-30,3.9588
2003-05-30,4.2155
2003-06-30,4.5967
2003-07-31,4.8751
2003-08-29,5.0310
2003-09-30,5.2418
2003-10-31,5.5526
2003-11-28,5.8501
2003-12-31,6.0974
2004-01-30,6.2890
2004-02-27,6.4428
2004-03-31,6.5933
2004-04-30,6.6358
2004-05-31,0
2004-06-30,6.4998
2004-07-30,6.5736
2004-08-31,6.7164
2004-09-30,6.7243
2004-10-29,6.7184
2004-11-30,6.8596
2004-12-31,7.1179
2005-01-31,7.3098
2005-02-28,7.3299
2005-03-31,7.2677
2005-04-29,7.1771
2005-05-31,7.2005
2005-06-30,7.2991
2005-07-29,7.5035
2005-08-31,7.7502
2005-09-30,7.9591
2005-10-31,7.8514
2005-11-30,7.6611
2005-12-30,7.5729
2006-01-31,7.7823
2006-02-28,8.1450
2006-03-31,8.6217
2006-04-28,8.8851
2006-05-31,9.0891
2006-06-30,9.2674
2006-07-31,9.5796
2006-08-31,9.8406
2006-09-29,10.0687
2006-10-31,10.3343
2006-11-30,10.6819
2006-12-29,10.9543
2007-01-31,10.8681
2007-02-28,11.0251
2007-03-30,11.6221
2007-04-30,12.4123
2007-05-31,12.7890
2007-06-29,12.3452
2007-07-31,11.8121
2007-08-31,11.2047
2007-09-28,11.1091
2007-10-31,11.1750
2007-11-30,11.4845
2007-12-31,11.8930
2008-01-31,11.8920
2008-02-29,11.5036
2008-03-31,10.8464
2008-04-30,10.7160
2008-05-30,10.8855
2008-06-30,11.0537
2008-07-31,10.6142
2008-08-29,10.3281
2008-09-30,10.1372
2008-10-31,9.7129
2008-11-28,9.2807
2008-12-31,8.8933
2009-01-30,8.9028
2009-02-27,8.6146
2009-03-31,7.9227
2009-04-30,7.4689
2009-05-29,7.3375
2009-06-30,7.5848
2009-07-31,7.9016
2009-08-31,8.2120
2009-09-30,8.4784
2009-10-30,8.6569
2009-11-30,8.8000
2009-12-31,9.1670
2010-01-29,9.6785
2010-02-26,10.1265
2010-03-31,10.5517
2010-04-30,10.8746
2010-05-31,0
2010-06-30,10.9888
2010-07-30,10.9842
2010-08-31,11.3529
2010-09-30,11.8266
2010-10-29,12.0778
2010-11-30,12.2740
2010-12-31,12.4090
2011-01-31,12.5517
2011-02-28,12.7898
2011-03-31,13.1500
2011-04-29,13.3777
2011-05-31,13.6210
2011-06-30,13.7912
2011-07-29,14.0480
2011-08-31,13.8297
2011-09-30,13.7487
2011-10-31,13.7720
2011-11-30,14.1561
2011-12-30,14.6617
2012-01-31,15.0244
2012-02-29,15.2648
2012-03-30,15.3566
2012-04-30,15.4919
2012-05-31,15.7074
2012-06-29,15.9816
2012-07-31,16.3458
2012-08-31,16.6316
2012-09-28,16.5456
2012-10-31,16.3189
2012-11-30,16.0958
2012-12-31,16.1493
2013-01-31,16.2906
2013-02-28,16.7330
2013-03-29,0
2013-04-30,18.1473
2013-05-31,18.8348
2013-06-28,18.8956
2013-07-31,19.0152
2013-08-30,19.2096
2013-09-30,19.3283
2013-10-31,19.1218
2013-11-29,19.4053
2013-12-31,19.7471
2014-01-31,19.8021
2014-02-28,19.8949
2014-03-31,20.3720
2014-04-30,21.2561
2014-05-30,21.9498
2014-06-30,22.5434
2014-07-31,22.7808
2014-08-29,22.7504
2014-09-30,22.5824
2014-10-31,22.6892
2014-11-28,23.3772
2014-12-31,24.6382
2015-01-30,25.9089
2015-02-27,26.3558
2015-03-31,25.9489
2015-04-30,25.1977
2015-05-29,24.7550
2015-06-30,24.3234
2015-07-31,24.0756
2015-08-31,24.1039
2015-09-30,23.8787
2015-10-30,23.8274
2015-11-30,23.9121
2015-12-31,24.6602
2016-01-29,25.0725
2016-02-29,26.2890
2016-03-31,27.9101
2016-04-29,29.2710
2016-05-31,30.0316
2016-06-30,30.9417
2016-07-29,32.1898
2016-08-31,33.0299
2016-09-30,32.9090
2016-10-31,32.1581
2016-11-30,31.5749
2016-12-30,31.2471
2017-01-31,31.4068
2017-02-28,31.9722
2017-03-31,32.7751
2017-04-28,33.5187
2017-05-31,34.1562
2017-06-30,34.8817
2017-07-31,35.1089
2017-08-31,35.7017
2017-09-29,36.1791
2017-10-31,37.0125
2017-11-30,37.6855
2017-12-29,38.1736
2018-01-31,37.4004
2018-02-28,35.8962
2018-03-30,0
2018-04-30,35.2449
2018-05-31,36.2948
2018-06-29,36.5894
