,SMA_daily_60
2000-01-31,7.2452
2000-02-29,6.6348
2000-03-31,6.0048
2000-04-28,5.9814
2000-05-31,6.3910
2000-06-30,7.1143
2000-07-31,7.3056
2000-08-31,6.8768
2000-09-29,6.3767
2000-10-31,6.2473
2000-11-30,6.7985
2000-12-29,7.2465
2001-01-31,7.8825
2001-02-28,8.4953
2001-03-30,9.4198
2001-04-30,9.7180
2001-05-31,9.6749
2001-06-29,9.6857
2001-07-31,10.0646
2001-08-31,10.2316
2001-09-28,10.0585
2001-10-31,9.9124
2001-11-30,10.1434
2001-12-31,10.3687
2002-01-31,10.3293
2002-02-28,10.1741
2002-03-29,0
2002-04-30,11.1086
2002-05-31,11.5282
2002-06-28,11.7680
2002-07-31,11.4763
2002-08-30,11.3063
2002-09-30,10.9091
2002-10-31,10.6731
2002-11-29,10.6073
2002-12-31,10.7798
2003-01-31,11.1941
2003-02-28,11.4657
2003-03-31,11.8429
2003-04-30,12.2883
2003-05-30,12.4880
2003-06-30,12.2358
2003-07-31,11.8301
2003-08-29,11.3346
2003-09-30,11.2047
2003-10-31,11.1355
2003-11-28,11.1408
2003-12-31,11.1807
2004-01-30,11.1329
2004-02-27,11.0858
2004-03-31,10.9102
2004-04-30,10.7500
2004-05-31,0
2004-06-30,10.3155
2004-07-30,10.1869
2004-08-31,10.0565
2004-09-30,10.0135
2004-10-29,10.1059
2004-11-30,10.4848
2004-12-31,10.7851
2005-01-31,11.1263
2005-02-28,11.5848
2005-03-31,11.9865
2005-04-29,12.1102
2005-05-31,11.5957
2005-06-30,11.0293
2005-07-29,10.9354
2005-08-31,10.8665
2005-09-30,10.7102
2005-10-31,10.0849
2005-11-30,9.6287
2005-12-30,9.5313
2006-01-31,9.5920
2006-02-28,9.9044
2006-03-31,10.1636
2006-04-28,10.5238
2006-05-31,10.4059
2006-06-30,10.1919
2006-07-31,10.2225
2006-08-31,10.6465
2006-09-29,11.2350
2006-10-31,12.0994
2006-11-30,13.1103
2006-12-29,13.8566
2007-01-31,14.4009
2007-02-28,15.1476
2007-03-30,16.3416
2007-04-30,17.3874
2007-05-31,17.9481
2007-06-29,17.5306
2007-07-31,16.7500
2007-08-31,15.3215
2007-09-28,14.7472
2007-10-31,14.1043
2007-11-30,13.7213
2007-12-31,13.2247
2008-01-31,12.6241
2008-02-29,12.8455
2008-03-31,12.9076
2008-04-30,13.3906
2008-05-30,13.1793
2008-06-30,12.9144
2008-07-31,12.6340
2008-08-29,12.8376
2008-09-30,12.8654
2008-10-31,11.6795
2008-11-28,10.2652
2008-12-31,9.5307
2009-01-30,9.9677
2009-02-27,9.8387
2009-03-31,8.9304
2009-04-30,8.6179
2009-05-29,9.2544
2009-06-30,10.4212
2009-07-31,11.0307
2009-08-31,11.7018
2009-09-30,12.2546
2009-10-30,12.7830
2009-11-30,13.2884
2009-12-31,13.9020
2010-01-29,14.2305
2010-02-26,14.6000
2010-03-31,15.3771
2010-04-30,16.2077
2010-05-31,0
2010-06-30,16.0730
2010-07-30,15.6206
2010-08-31,15.5923
2010-09-30,15.7886
2010-10-29,16.2127
2010-11-30,16.9215
2010-12-31,17.8750
2011-01-31,18.2458
2011-02-28,18.5554
2011-03-31,18.4488
2011-04-29,19.0194
2011-05-31,19.4022
2011-06-30,19.8043
2011-07-29,20.0805
2011-08-31,19.6903
2011-09-30,19.6938
2011-10-31,19.9862
2011-11-30,20.9191
2011-12-30,21.4662
2012-01-31,21.7875
2012-02-29,22.8164
2012-03-30,24.3931
2012-04-30,25.4696
2012-05-31,25.4727
2012-06-29,25.0607
2012-07-31,25.2373
2012-08-31,26.4501
2012-09-28,27.3815
2012-10-31,28.1992
2012-11-30,28.5094
2012-12-31,28.9300
2013-01-31,29.2110
2013-02-28,30.3160
2013-03-29,0
2013-04-30,33.8554
2013-05-31,35.5213
2013-06-28,36.1524
2013-07-31,36.2886
2013-08-30,35.2530
2013-09-30,34.6096
2013-10-31,34.3677
2013-11-29,35.4788
2013-12-31,36.6287
2014-01-31,37.0856
2014-02-28,34.8603
2014-03-31,32.7348
2014-04-30,31.3731
2014-05-30,32.1659
2014-06-30,32.3771
2014-07-31,32.2055
2014-08-29,31.1730
2014-09-30,29.6189
2014-10-31,27.7696
2014-11-28,26.8267
2014-12-31,26.2224
2015-01-30,25.7127
2015-02-27,24.6794
2015-03-31,22.9014
2015-04-30,22.3886
2015-05-29,22.4351
2015-06-30,23.2435
2015-07-31,22.6810
2015-08-31,21.6990
2015-09-30,20.6965
2015-10-30,20.4832
2015-11-30,21.0627
2015-12-31,22.5452
2016-01-29,23.5341
2016-02-29,25.8092
2016-03-31,28.0338
2016-04-29,30.0112
2016-05-31,29.8334
2016-06-30,29.4458
2016-07-29,29.6860
2016-08-31,30.6160
2016-09-30,30.8703
2016-10-31,30.3499
2016-11-30,29.7069
2016-12-30,29.0005
2017-01-31,28.5893
2017-02-28,27.0344
2017-03-31,25.8450
2017-04-28,24.4505
2017-05-31,23.3152
2017-06-30,22.0802
2017-07-31,21.2925
2017-08-31,19.4623
2017-09-29,17.6318
2017-10-31,15.8508
2017-11-30,15.7722
2017-12-29,15.8602
2018-01-31,16.1332
2018-02-28,16.0270
