,SMA_daily_60
2000-01-31,199.4484
2000-02-29,218.4136
2000-03-31,234.2102
2000-04-28,227.6673
2000-05-31,193.9901
2000-06-30,162.7889
2000-07-31,155.3331
2000-08-31,160.4158
2000-09-29,160.6613
2000-10-31,140.6744
2000-11-30,120.0632
2000-12-29,100.9150
2001-01-31,99.5347
2001-02-28,93.8199
2001-03-30,86.7598
2001-04-30,74.0570
2001-05-31,70.1049
2001-06-29,69.3875
2001-07-31,73.9562
2001-08-31,78.6066
2001-09-28,79.7471
2001-10-31,78.8437
2001-11-30,77.9581
2001-12-31,79.0111
2002-01-31,74.1159
2002-02-28,66.9933
2002-03-29,0
2002-04-30,64.7690
2002-05-31,69.8360
2002-06-28,71.5524
2002-07-31,69.8265
2002-08-30,63.2639
2002-09-30,57.3793
2002-10-31,50.5498
2002-11-29,46.3638
2002-12-31,43.9997
2003-01-31,44.1003
2003-02-28,41.6631
2003-03-31,39.9874
2003-04-30,38.7071
2003-05-30,39.2052
2003-06-30,40.5886
2003-07-31,42.9046
2003-08-29,45.1506
2003-09-30,48.7130
2003-10-31,56.2840
2003-11-28,61.5331
2003-12-31,64.7311
2004-01-30,69.0795
2004-02-27,74.5863
2004-03-31,81.6531
2004-04-30,85.1315
2004-05-31,0
2004-06-30,90.5367
2004-07-30,87.2038
2004-08-31,80.5366
2004-09-30,78.0845
2004-10-29,81.4863
2004-11-30,85.5015
2004-12-31,88.9961
2005-01-31,89.7790
2005-02-28,89.1024
2005-03-31,84.9558
2005-04-29,83.1010
2005-05-31,84.5586
2005-06-30,90.7678
2005-07-29,98.5712
2005-08-31,107.9154
2005-09-30,116.2520
2005-10-31,117.5337
2005-11-30,121.7002
2005-12-30,122.4256
2006-01-31,126.7968
2006-02-28,123.5911
2006-03-31,121.3122
2006-04-28,120.7976
2006-05-31,120.2381
2006-06-30,116.8143
2006-07-31,112.6172
2006-08-31,116.5097
2006-09-29,124.5592
2006-10-31,131.7610
2006-11-30,129.6492
2006-12-29,122.8856
2007-01-31,112.9836
2007-02-28,108.3776
2007-03-30,103.0790
2007-04-30,101.2777
2007-05-31,99.3696
2007-06-29,99.2119
2007-07-31,99.2551
2007-08-31,95.7441
2007-09-28,95.2305
2007-10-31,98.4059
2007-11-30,98.0960
2007-12-31,94.9226
2008-01-31,84.2552
2008-02-29,75.2817
2008-03-31,63.3749
2008-04-30,55.9038
2008-05-30,53.4641
2008-06-30,51.2346
2008-07-31,46.8042
2008-08-29,47.1741
2008-09-30,47.0902
2008-10-31,42.5239
2008-11-28,32.7145
2008-12-31,25.8452
2009-01-30,24.4231
2009-02-27,23.9265
2009-03-31,23.0246
2009-04-30,24.3488
2009-05-29,28.7348
2009-06-30,33.8972
2009-07-31,36.1264
2009-08-31,38.4299
2009-09-30,42.3310
2009-10-30,45.8672
2009-11-30,48.4546
