,SMA_daily_60
2000-01-31,29.2486
2000-02-29,29.6834
2000-03-31,28.6429
2000-04-28,28.1964
2000-05-31,27.6064
2000-06-30,27.7261
2000-07-31,27.4364
2000-08-31,27.0864
2000-09-29,25.7208
2000-10-31,24.9592
2000-11-30,24.8730
2000-12-29,25.6282
2001-01-31,26.6041
2001-02-28,27.4501
2001-03-30,27.6180
2001-04-30,27.3080
2001-05-31,27.4972
2001-06-29,27.8319
2001-07-31,27.5365
2001-08-31,26.3714
2001-09-28,25.0621
2001-10-31,23.5854
2001-11-30,23.6819
2001-12-31,25.7926
2002-01-31,27.3568
2002-02-28,27.7630
2002-03-29,0
2002-04-30,29.0315
2002-05-31,28.9220
2002-06-28,25.5720
2002-07-31,20.6420
2002-08-30,17.3120
2002-09-30,17.8585
2002-10-31,18.6801
2002-11-29,19.1720
2002-12-31,20.0183
2003-01-31,20.6227
2003-02-28,19.7363
2003-03-31,18.3687
2003-04-30,18.0429
2003-05-30,19.2992
2003-06-30,21.4411
2003-07-31,22.8250
2003-08-29,23.6652
2003-09-30,24.2008
2003-10-31,24.5765
2003-11-28,24.8940
2003-12-31,25.8548
2004-01-30,26.9984
2004-02-27,27.1976
2004-03-31,26.3986
2004-04-30,25.8460
2004-05-31,0
2004-06-30,25.8677
2004-07-30,24.7193
2004-08-31,23.4314
2004-09-30,22.6793
2004-10-29,23.1893
2004-11-30,24.7105
2004-12-31,26.0666
2005-01-31,27.1607
2005-02-28,27.6288
2005-03-31,28.3838
2005-04-29,28.4213
2005-05-31,28.0552
2005-06-30,27.2379
2005-07-29,27.0009
2005-08-31,26.9763
2005-09-30,27.2196
2005-10-31,26.8686
2005-11-30,26.9061
2005-12-30,27.3689
2006-01-31,27.8566
2006-02-28,27.8078
2006-03-31,27.3304
2006-04-28,27.5759
2006-05-31,28.8865
2006-06-30,29.9152
2006-07-31,29.9829
2006-08-31,29.3442
2006-09-29,29.5809
2006-10-31,30.6658
2006-11-30,32.3339
2006-12-29,33.7112
2007-01-31,34.4955
2007-02-28,34.8242
2007-03-30,34.8375
2007-04-30,34.9268
2007-05-31,34.8866
2007-06-29,34.9636
2007-07-31,35.1548
2007-08-31,34.9773
2007-09-28,34.4731
2007-10-31,33.8824
2007-11-30,33.1502
2007-12-31,32.9746
2008-01-31,31.4921
2008-02-29,31.2270
2008-03-31,30.3221
2008-04-30,30.6477
2008-05-30,31.3995
2008-06-30,31.9738
2008-07-31,30.8979
2008-08-29,29.6490
2008-09-30,28.5128
2008-10-31,25.6582
2008-11-28,22.1368
2008-12-31,18.9744
2009-01-30,18.2211
2009-02-27,18.2370
2009-03-31,17.4410
2009-04-30,17.8261
2009-05-29,19.1691
2009-06-30,21.2712
2009-07-31,22.1660
2009-08-31,23.2381
2009-09-30,24.5001
2009-10-30,25.3858
2009-11-30,25.4930
2009-12-31,25.7580
2010-01-29,26.0912
2010-02-26,26.0947
2010-03-31,26.4051
2010-04-30,27.3207
2010-05-31,0
2010-06-30,27.6708
2010-07-30,26.3683
2010-08-31,25.8274
2010-09-30,26.3244
2010-10-29,27.5702
2010-11-30,29.8996
2010-12-31,31.9379
2011-01-31,32.7715
2011-02-28,33.4680
2011-03-31,34.1087
2011-04-29,34.8263
2011-05-31,34.4910
2011-06-30,33.9173
2011-07-29,33.8390
2011-08-31,32.1650
2011-09-30,30.1425
2011-10-31,28.8494
2011-11-30,29.6905
2011-12-30,31.0737
2012-01-31,31.9929
2012-02-29,33.3492
2012-03-30,35.0561
2012-04-30,35.9835
2012-05-31,36.6216
2012-06-29,36.0421
2012-07-31,35.8852
2012-08-31,36.5260
2012-09-28,37.8267
2012-10-31,38.2733
2012-11-30,37.3190
2012-12-31,36.5977
2013-01-31,37.3543
2013-02-28,39.4810
2013-03-29,0
2013-04-30,43.6855
2013-05-31,45.4081
2013-06-28,46.3283
2013-07-31,47.8966
2013-08-30,47.8932
2013-09-30,48.3370
2013-10-31,48.5306
2013-11-29,50.8476
2013-12-31,52.7584
2014-01-31,54.7948
2014-02-28,55.8050
2014-03-31,56.4625
2014-04-30,55.7039
2014-05-30,54.0575
2014-06-30,53.6741
2014-07-31,54.6506
2014-08-29,55.4549
2014-09-30,55.3796
2014-10-31,54.4322
2014-11-28,55.1314
2014-12-31,57.3567
2015-01-30,59.1092
2015-02-27,59.7990
2015-03-31,60.2065
2015-04-30,61.2856
2015-05-29,61.2117
2015-06-30,59.7846
2015-07-31,58.4330
2015-08-31,57.1478
2015-09-30,55.9403
2015-10-30,55.8363
2015-11-30,56.8707
2015-12-31,59.3653
2016-01-29,58.9646
2016-02-29,59.4207
2016-03-31,61.0711
2016-04-29,64.8638
2016-05-31,67.2118
2016-06-30,67.7008
2016-07-29,67.5821
2016-08-31,67.9300
2016-09-30,68.8453
2016-10-31,68.6112
2016-11-30,68.5415
2016-12-30,69.2308
2017-01-31,70.6783
2017-02-28,71.1202
2017-03-31,70.9138
2017-04-28,70.7272
2017-05-31,70.1850
2017-06-30,69.6414
2017-07-31,68.9901
2017-08-31,67.0273
2017-09-29,64.5965
2017-10-31,62.5555
2017-11-30,60.5865
2017-12-29,60.6723
2018-01-31,61.5677
2018-02-28,64.0610
2018-03-30,0
2018-04-30,63.8189
2018-05-31,63.0517
2018-06-29,63.7942
2018-07-31,63.7294
2018-08-31,62.2513
2018-09-28,60.6862
2018-10-31,61.2298
2018-11-30,63.6944
2018-12-31,65.1765
2019-01-31,66.1567
2019-02-28,66.0813
2019-03-29,66.4512
2019-04-30,67.3624
2019-05-31,68.7706
2019-06-28,70.5960
2019-07-31,72.0281
2019-08-30,71.6850
2019-09-30,71.0624
2019-10-31,69.5505
2019-11-29,70.3028
2019-12-31,71.0523
2020-01-31,72.1042
2020-02-28,71.5202
2020-03-31,64.6187
2020-04-30,57.0015
2020-05-29,50.4768
2020-06-30,50.4584
2020-07-31,50.8031
2020-08-31,51.0011
2020-09-30,49.9420
2020-10-30,48.9868
2020-11-30,50.2222
2020-12-31,54.4846
2021-01-29,58.4762
2021-02-26,61.3732
2021-03-31,66.2342
2021-04-30,71.7168
2021-05-31,0
2021-06-30,78.6878
2021-07-30,77.5617
2021-08-31,74.3986
2021-09-30,71.9272
2021-10-29,71.6775
2021-11-30,70.1388
