,SMA_daily_60
2000-01-31,15.3567
2000-02-29,15.2817
2000-03-31,15.4766
2000-04-28,16.1925
2000-05-31,17.8409
2000-06-30,19.5322
2000-07-31,20.2688
2000-08-31,20.1568
2000-09-29,19.5046
2000-10-31,19.2533
2000-11-30,19.4267
2000-12-29,19.8034
2001-01-31,19.6264
2001-02-28,19.8182
2001-03-30,19.0441
2001-04-30,18.8029
2001-05-31,18.6080
2001-06-29,19.2121
2001-07-31,18.9654
2001-08-31,18.4694
2001-09-28,17.9014
2001-10-31,18.2243
2001-11-30,18.5833
2001-12-31,18.9984
2002-01-31,18.8021
2002-02-28,18.5565
2002-03-29,0
2002-04-30,18.0706
2002-05-31,17.2897
2002-06-28,16.5297
2002-07-31,15.3303
2002-08-30,14.8719
2002-09-30,14.1536
2002-10-31,14.3250
2002-11-29,14.2678
2002-12-31,14.4794
2003-01-31,14.4247
2003-02-28,13.9448
2003-03-31,13.8716
2003-04-30,14.0435
2003-05-30,14.5360
2003-06-30,15.1159
2003-07-31,15.4701
2003-08-29,15.3610
2003-09-30,14.8443
2003-10-31,14.4711
2003-11-28,14.7918
2003-12-31,15.3668
2004-01-30,16.1604
2004-02-27,16.8565
2004-03-31,17.0420
2004-04-30,17.0773
2004-05-31,0
2004-06-30,16.8182
2004-07-30,16.2858
2004-08-31,15.6707
2004-09-30,15.1275
2004-10-29,14.6268
2004-11-30,13.9817
2004-12-31,13.2822
2005-01-31,12.7356
2005-02-28,12.4113
2005-03-31,12.3374
2005-04-29,12.6693
2005-05-31,13.0993
2005-06-30,13.4717
2005-07-29,13.4680
2005-08-31,13.0774
2005-09-30,12.6991
2005-10-31,12.1240
2005-11-30,11.4855
2005-12-30,11.0137
2006-01-31,11.3614
2006-02-28,12.0254
2006-03-31,12.6896
2006-04-28,12.7083
2006-05-31,12.4969
2006-06-30,12.0804
2006-07-31,11.9678
2006-08-31,12.4538
2006-09-29,13.3163
2006-10-31,13.9587
2006-11-30,13.9481
2006-12-29,13.5648
2007-01-31,13.4368
2007-02-28,13.4057
2007-03-30,13.3617
2007-04-30,13.3846
2007-05-31,13.6677
2007-06-29,13.8714
2007-07-31,13.6764
2007-08-31,13.1090
2007-09-28,12.9101
2007-10-31,12.9586
2007-11-30,12.7981
2007-12-31,12.6656
2008-01-31,12.4546
2008-02-29,12.4107
2008-03-31,12.0493
2008-04-30,11.5960
2008-05-30,11.1624
2008-06-30,10.6267
2008-07-31,10.2283
2008-08-29,10.2448
2008-09-30,10.4341
2008-10-31,10.2260
2008-11-28,9.7277
2008-12-31,9.4859
2009-01-30,9.5500
2009-02-27,9.2126
2009-03-31,8.5370
2009-04-30,7.9581
2009-05-29,8.1840
2009-06-30,8.4321
2009-07-31,8.8288
2009-08-31,9.1419
2009-09-30,9.5328
2009-10-30,9.9190
2009-11-30,10.2388
2009-12-31,10.7129
2010-01-29,11.0736
2010-02-26,11.1399
2010-03-31,10.9152
2010-04-30,10.5062
2010-05-31,0
2010-06-30,9.7299
2010-07-30,9.3003
2010-08-31,9.4188
2010-09-30,9.9266
2010-10-29,10.4775
2010-11-30,10.6749
2010-12-31,10.7278
2011-01-31,10.9146
2011-02-28,11.4091
2011-03-31,12.0871
2011-04-29,12.5616
2011-05-31,12.9632
2011-06-30,13.1307
2011-07-29,13.0632
2011-08-31,12.4270
2011-09-30,11.9609
2011-10-31,11.8691
2011-11-30,12.2095
2011-12-30,12.9180
2012-01-31,13.5555
2012-02-29,13.9698
2012-03-30,14.2083
2012-04-30,14.4093
2012-05-31,14.7396
2012-06-29,14.8625
2012-07-31,15.0932
2012-08-31,15.5793
2012-09-28,15.9966
2012-10-31,16.5170
2012-11-30,16.6660
2012-12-31,16.9199
2013-01-31,17.2840
2013-02-28,17.9717
2013-03-29,0
2013-04-30,19.5666
2013-05-31,19.9998
2013-06-28,20.0455
2013-07-31,19.7839
2013-08-30,19.8604
2013-09-30,19.9604
2013-10-31,20.1965
2013-11-29,20.9756
2013-12-31,21.5435
2014-01-31,21.7659
2014-02-28,21.7946
2014-03-31,22.1783
2014-04-30,22.3250
2014-05-30,21.8274
2014-06-30,21.2991
2014-07-31,21.2284
2014-08-29,21.1297
2014-09-30,21.2182
2014-10-31,21.0067
2014-11-28,21.3976
2014-12-31,21.9432
2015-01-30,22.8322
2015-02-27,23.6811
2015-03-31,24.5093
2015-04-30,25.2353
2015-05-29,25.2700
2015-06-30,25.3060
2015-07-31,25.3605
2015-08-31,25.4979
2015-09-30,25.1134
2015-10-30,24.8030
2015-11-30,24.7429
2015-12-31,24.8432
2016-01-29,24.1904
2016-02-29,23.3661
2016-03-31,22.7310
2016-04-29,23.2693
2016-05-31,24.3911
2016-06-30,25.7727
2016-07-29,26.7678
2016-08-31,27.2231
2016-09-30,27.1007
2016-10-31,26.1903
2016-11-30,25.3263
2016-12-30,24.9244
2017-01-31,24.9541
2017-02-28,25.3968
2017-03-31,26.0906
2017-04-28,26.6113
2017-05-31,26.5273
2017-06-30,26.2846
2017-07-31,26.2402
2017-08-31,26.5656
2017-09-29,27.1269
2017-10-31,28.0180
2017-11-30,28.6759
2017-12-29,28.9968
2018-01-31,29.3886
2018-02-28,29.5219
2018-03-30,0
2018-04-30,29.3864
2018-05-31,29.4190
2018-06-29,29.6365
2018-07-31,30.1560
2018-08-31,32.0337
2018-09-28,33.8624
2018-10-31,35.7420
2018-11-30,36.4785
2018-12-31,36.5600
2019-01-31,36.1699
2019-02-28,35.9286
2019-03-29,35.6031
2019-04-30,35.4323
2019-05-31,35.1728
2019-06-28,35.5576
2019-07-31,36.1991
2019-08-30,34.4508
2019-09-30,32.5896
2019-10-31,31.0681
2019-11-29,31.8304
2019-12-31,32.6681
2020-01-31,33.5583
2020-02-28,33.3516
2020-03-31,31.3741
2020-04-30,30.4300
2020-05-29,30.9888
2020-06-30,31.8090
2020-07-31,31.8109
2020-08-31,32.2609
2020-09-30,33.2138
2020-10-30,33.2546
2020-11-30,33.3503
2020-12-31,35.0416
2021-01-29,35.7058
2021-02-26,35.3468
2021-03-31,34.1510
2021-04-30,34.6483
2021-05-31,0
2021-06-30,37.9144
2021-07-30,38.8885
2021-08-31,41.8415
2021-09-30,43.8089
2021-10-29,44.1506
2021-11-30,44.8854
2021-12-31,49.5240
2022-01-31,53.5231
2022-02-28,53.5661
2022-03-31,51.6609
