,SMA_daily_60
2000-01-31,4.2194
2000-02-29,3.9483
2000-03-31,3.7448
2000-04-28,3.9756
2000-05-31,4.3411
2000-06-30,4.6122
2000-07-31,4.6251
2000-08-31,5.1500
2000-09-29,5.9384
2000-10-31,6.6207
2000-11-30,7.1662
2000-12-29,7.7656
2001-01-31,8.2532
2001-02-28,8.0809
2001-03-30,7.6639
2001-04-30,7.9931
2001-05-31,8.6291
2001-06-29,8.9672
2001-07-31,9.0018
2001-08-31,8.5033
2001-09-28,7.9705
2001-10-31,7.1978
2001-11-30,7.1931
2001-12-31,8.0131
2002-01-31,8.7983
2002-02-28,9.5740
2002-03-29,0
2002-04-30,10.5589
2002-05-31,10.8906
2002-06-28,11.2542
2002-07-31,11.0816
2002-08-30,10.6683
2002-09-30,9.9925
2002-10-31,9.6624
2002-11-29,9.4640
2002-12-31,9.6116
2003-01-31,10.1559
2003-02-28,10.5297
2003-03-31,10.6883
2003-04-30,10.9984
2003-05-30,11.7817
2003-06-30,13.0528
2003-07-31,13.5206
2003-08-29,13.7002
2003-09-30,13.7894
2003-10-31,15.1592
2003-11-28,16.7893
2003-12-31,18.6875
2004-01-30,19.3129
2004-02-27,19.4169
2004-03-31,20.9188
2004-04-30,21.7591
2004-05-31,0
2004-06-30,21.3568
2004-07-30,21.7192
2004-08-31,23.0652
2004-09-30,24.5230
2004-10-29,24.4040
2004-11-30,24.1631
2004-12-31,24.1191
2005-01-31,25.8902
2005-02-28,27.7388
2005-03-31,29.8473
2005-04-29,30.9739
2005-05-31,31.1563
2005-06-30,32.2975
2005-07-29,35.1304
2005-08-31,37.2417
2005-09-30,37.9841
2005-10-31,35.3212
2005-11-30,34.6058
2005-12-30,34.0035
2006-01-31,35.2024
2006-02-28,34.6911
2006-03-31,33.7588
2006-04-28,33.3074
2006-05-31,31.9935
2006-06-30,28.8842
2006-07-31,25.9269
2006-08-31,24.6637
2006-09-29,25.4634
2006-10-31,26.6053
2006-11-30,27.0883
2006-12-29,27.6035
2007-01-31,27.7316
2007-02-28,28.2814
2007-03-30,26.4787
2007-04-30,24.8633
2007-05-31,23.2328
2007-06-29,22.5553
2007-07-31,20.9225
2007-08-31,18.1635
2007-09-28,15.8792
2007-10-31,13.8382
2007-11-30,12.0755
2007-12-31,10.7094
2008-01-31,9.5836
2008-02-29,10.5245
2008-03-31,11.2822
2008-04-30,12.2802
2008-05-30,12.0129
2008-06-30,11.2047
2008-07-31,10.0614
2008-08-29,10.0188
2008-09-30,11.5113
2008-10-31,11.4615
2008-11-28,10.4124
2008-12-31,9.0260
2009-01-30,9.2564
2009-02-27,9.4724
2009-03-31,9.1339
2009-04-30,9.1407
2009-05-29,9.2596
2009-06-30,8.7992
2009-07-31,8.1733
2009-08-31,9.0637
2009-09-30,10.0947
2009-10-30,10.2072
2009-11-30,9.3177
2009-12-31,8.5269
2010-01-29,8.7033
2010-02-26,9.1524
2010-03-31,9.7987
2010-04-30,10.1120
2010-05-31,0
2010-06-30,9.6138
2010-07-30,8.5103
2010-08-31,7.5839
2010-09-30,7.4467
2010-10-29,7.3486
2010-11-30,7.0068
2010-12-31,6.5156
2011-01-31,6.5718
2011-02-28,6.7136
2011-03-31,6.6997
2011-04-29,6.5586
2011-05-31,6.7022
2011-06-30,6.7613
2011-07-29,6.5936
2011-08-31,5.5826
2011-09-30,4.6214
2011-10-31,3.8759
2011-11-30,4.2228
2011-12-30,4.8126
2012-01-31,5.6437
2012-02-29,6.5262
2012-03-30,7.4510
2012-04-30,7.7477
2012-05-31,8.0333
2012-06-29,8.0378
2012-07-31,8.6794
2012-08-31,9.8787
2012-09-28,11.5557
2012-10-31,13.2876
2012-11-30,14.4796
2012-12-31,15.0044
2013-01-31,15.9738
2013-02-28,16.7478
2013-03-29,0
2013-04-30,17.3902
2013-05-31,18.4485
2013-06-28,18.4142
2013-07-31,18.0105
2013-08-30,15.8870
2013-09-30,14.9708
2013-10-31,14.5338
2013-11-29,15.1825
2013-12-31,15.8125
2014-01-31,16.7018
2014-02-28,17.3294
2014-03-31,17.5823
2014-04-30,17.3832
2014-05-30,16.9882
2014-06-30,17.1173
2014-07-31,17.3767
2014-08-29,17.1793
2014-09-30,16.7694
2014-10-31,16.5907
2014-11-28,17.1784
2014-12-31,18.0338
2015-01-30,18.9238
2015-02-27,19.3916
2015-03-31,19.6363
2015-04-30,19.7459
2015-05-29,18.9088
2015-06-30,18.2478
2015-07-31,18.0067
2015-08-31,18.3586
2015-09-30,18.4610
2015-10-30,18.1179
2015-11-30,17.5405
2015-12-31,16.9634
2016-01-29,16.2089
2016-02-29,15.5827
2016-03-31,15.6394
2016-04-29,16.3455
2016-05-31,16.8427
2016-06-30,17.1339
2016-07-29,17.8545
2016-08-31,18.9018
2016-09-30,19.2527
2016-10-31,18.7538
2016-11-30,17.9357
2016-12-30,17.5986
2017-01-31,17.7305
2017-02-28,18.5951
2017-03-31,20.2160
2017-04-28,21.3245
2017-05-31,21.7027
2017-06-30,21.8910
2017-07-31,22.3287
2017-08-31,23.2046
2017-09-29,23.8510
2017-10-31,25.0293
2017-11-30,27.2052
2017-12-29,29.4939
2018-01-31,31.4597
2018-02-28,30.7011
2018-03-30,0
2018-04-30,27.9383
2018-05-31,28.3574
2018-06-29,28.6108
2018-07-31,28.5277
2018-08-31,27.8813
2018-09-28,26.9668
2018-10-31,24.7466
2018-11-30,23.6885
2018-12-31,23.6565
2019-01-31,25.0632
2019-02-28,25.6948
2019-03-29,26.1768
2019-04-30,27.0035
2019-05-31,28.6726
2019-06-28,30.2404
2019-07-31,31.0009
2019-08-30,31.2527
2019-09-30,32.2378
2019-10-31,34.4447
2019-11-29,36.4880
2019-12-31,37.8388
2020-01-31,39.0987
2020-02-28,41.0035
2020-03-31,37.5682
2020-04-30,31.4944
2020-05-29,26.8252
2020-06-30,29.8364
2020-07-31,34.2560
