,SMA_daily_60
2000-01-31,25.6999
2000-02-29,22.9733
2000-03-31,22.2195
2000-04-28,22.4097
2000-05-31,23.2752
2000-06-30,25.3463
2000-07-31,26.4948
2000-08-31,28.5994
2000-09-29,30.2972
2000-10-31,32.5293
2000-11-30,33.9160
2000-12-29,35.3701
2001-01-31,37.2371
2001-02-28,38.5617
2001-03-30,37.8048
2001-04-30,36.7643
2001-05-31,35.7811
2001-06-29,36.4800
2001-07-31,36.1128
2001-08-31,36.2534
2001-09-28,35.0062
2001-10-31,33.4017
2001-11-30,31.5185
2001-12-31,31.3076
2002-01-31,32.2341
2002-02-28,31.9696
2002-03-29,0
2002-04-30,32.4482
2002-05-31,32.5030
2002-06-28,31.2563
2002-07-31,28.6645
2002-08-30,26.4124
2002-09-30,24.8765
2002-10-31,24.2894
2002-11-29,23.6017
2002-12-31,23.3698
2003-01-31,24.4225
2003-02-28,25.0108
2003-03-31,25.5971
2003-04-30,25.5163
2003-05-30,26.1249
2003-06-30,27.2668
2003-07-31,28.4665
2003-08-29,28.7242
2003-09-30,28.6926
2003-10-31,29.2266
2003-11-28,30.4711
2003-12-31,31.7776
2004-01-30,32.5935
2004-02-27,33.2204
2004-03-31,34.0679
2004-04-30,33.7633
2004-05-31,0
2004-06-30,32.8444
2004-07-30,32.5676
2004-08-31,32.1287
2004-09-30,32.1964
2004-10-29,32.7871
2004-11-30,33.3110
2004-12-31,33.9326
2005-01-31,34.4128
2005-02-28,34.1814
2005-03-31,33.5387
2005-04-29,32.9686
2005-05-31,33.4572
2005-06-30,34.1472
2005-07-29,34.9494
2005-08-31,35.2968
2005-09-30,35.9167
2005-10-31,36.4663
2005-11-30,38.1082
2005-12-30,39.7023
2006-01-31,41.2702
2006-02-28,42.2482
2006-03-31,43.8805
2006-04-28,44.7217
2006-05-31,45.2429
2006-06-30,45.2604
2006-07-31,45.6251
2006-08-31,46.1821
2006-09-29,46.9983
2006-10-31,47.1098
2006-11-30,46.9195
2006-12-29,47.1970
2007-01-31,48.3248
2007-02-28,49.6136
2007-03-30,49.4005
2007-04-30,49.3908
2007-05-31,49.5233
2007-06-29,49.9819
2007-07-31,49.4126
2007-08-31,48.5448
2007-09-28,47.9275
2007-10-31,48.0566
2007-11-30,48.0126
2007-12-31,47.8322
2008-01-31,45.9599
2008-02-29,44.5555
2008-03-31,43.6591
2008-04-30,45.0986
2008-05-30,46.4751
2008-06-30,45.3649
2008-07-31,44.1535
2008-08-29,45.5611
2008-09-30,49.6395
2008-10-31,49.6978
2008-11-28,47.1300
2008-12-31,40.0930
2009-01-30,34.5314
2009-02-27,28.0045
2009-03-31,22.8241
2009-04-30,22.8567
2009-05-29,26.7025
2009-06-30,30.1221
2009-07-31,29.4872
2009-08-31,28.9755
2009-09-30,30.0749
2009-10-30,32.7171
2009-11-30,35.9189
2009-12-31,38.2967
2010-01-29,40.2286
2010-02-26,39.7464
2010-03-31,40.9529
2010-04-30,43.3463
2010-05-31,0
2010-06-30,46.8317
2010-07-30,45.3311
2010-08-31,43.1369
2010-09-30,41.5359
2010-10-29,39.6928
2010-11-30,40.0983
2010-12-31,41.7586
2011-01-31,43.8272
2011-02-28,45.5339
2011-03-31,46.1741
2011-04-29,46.4185
2011-05-31,46.4465
2011-06-30,45.5198
2011-07-29,44.3283
2011-08-31,40.5349
2011-09-30,37.9722
2011-10-31,36.8867
2011-11-30,38.3749
2011-12-30,40.3883
2012-01-31,42.4830
2012-02-29,44.5758
2012-03-30,46.2105
2012-04-30,47.3526
2012-05-31,48.5168
2012-06-29,47.5627
2012-07-31,46.4420
2012-08-31,46.3183
2012-09-28,47.6694
2012-10-31,48.2529
2012-11-30,46.8689
2012-12-31,45.0722
2013-01-31,45.1130
2013-02-28,47.0225
2013-03-29,0
2013-04-30,50.9324
2013-05-31,53.0565
2013-06-28,54.6403
2013-07-31,57.2950
2013-08-30,58.7007
2013-09-30,59.0711
2013-10-31,58.4779
2013-11-29,58.8240
2013-12-31,59.7991
2014-01-31,61.5910
2014-02-28,62.9663
2014-03-31,65.3768
2014-04-30,66.7023
2014-05-30,67.7485
2014-06-30,68.6651
2014-07-31,69.4409
2014-08-29,69.2387
2014-09-30,68.6479
2014-10-31,68.1558
2014-11-28,69.3053
2014-12-31,70.6907
2015-01-30,71.7152
2015-02-27,72.6181
2015-03-31,73.9071
2015-04-30,75.9054
2015-05-29,76.8563
2015-06-30,77.9350
2015-07-31,79.7233
2015-08-31,79.9706
2015-09-30,77.7309
2015-10-30,75.2407
2015-11-30,75.5449
2015-12-31,77.4918
2016-01-29,76.9636
2016-02-29,73.9143
2016-03-31,71.1598
2016-04-29,71.0217
2016-05-31,72.3486
2016-06-30,72.5007
2016-07-29,71.4596
2016-08-31,70.9744
2016-09-30,73.1263
2016-10-31,75.9531
2016-11-30,81.5719
2016-12-30,89.2820
2017-01-31,96.9304
2017-02-28,102.1476
2017-03-31,105.1118
2017-04-28,105.2556
2017-05-31,103.9617
2017-06-30,103.9597
2017-07-31,106.3437
2017-08-31,109.3850
2017-09-29,111.2769
2017-10-31,113.9469
2017-11-30,116.2669
2017-12-29,120.5118
2018-01-31,125.6309
2018-02-28,132.0284
2018-03-30,0
2018-04-30,134.4439
2018-05-31,131.7769
2018-06-29,128.0605
