,SMA_daily_60
2000-01-31,9.9771
2000-02-29,9.5072
2000-03-31,9.2305
2000-04-28,9.0817
2000-05-31,9.7981
2000-06-30,10.7509
2000-07-31,11.3879
2000-08-31,11.4992
2000-09-29,11.3766
2000-10-31,11.0300
2000-11-30,10.5697
2000-12-29,10.3841
2001-01-31,10.1944
2001-02-28,10.1615
2001-03-30,10.0397
2001-04-30,10.1956
2001-05-31,10.3635
2001-06-29,10.2034
2001-07-31,10.2088
2001-08-31,10.2655
2001-09-28,10.4009
2001-10-31,10.4371
2001-11-30,10.3628
2001-12-31,10.3822
2002-01-31,10.6305
2002-02-28,10.7968
2002-03-29,0
2002-04-30,11.1634
2002-05-31,11.1584
2002-06-28,10.7901
2002-07-31,10.0238
2002-08-30,9.9807
2002-09-30,10.0324
2002-10-31,10.2647
2002-11-29,10.1039
2002-12-31,9.9704
2003-01-31,9.9593
2003-02-28,9.6684
2003-03-31,9.3472
2003-04-30,8.9010
2003-05-30,9.0212
2003-06-30,9.4888
2003-07-31,9.7601
2003-08-29,9.5029
2003-09-30,9.1337
2003-10-31,9.2296
2003-11-28,9.3926
2003-12-31,9.6983
2004-01-30,10.0593
2004-02-27,10.5859
2004-03-31,11.0299
2004-04-30,11.0992
2004-05-31,0
2004-06-30,10.1526
2004-07-30,9.9548
2004-08-31,10.3530
2004-09-30,10.6913
2004-10-29,11.1251
2004-11-30,11.4479
2004-12-31,11.7749
2005-01-31,11.9396
2005-02-28,12.1718
2005-03-31,12.3698
2005-04-29,12.4106
2005-05-31,12.3992
2005-06-30,12.8077
2005-07-29,13.3379
2005-08-31,13.5776
2005-09-30,13.4294
2005-10-31,13.0079
2005-11-30,12.7534
2005-12-30,12.6852
2006-01-31,13.1057
2006-02-28,13.5164
2006-03-31,13.8136
2006-04-28,13.7919
2006-05-31,13.6808
2006-06-30,13.7361
2006-07-31,14.0139
2006-08-31,14.4920
2006-09-29,14.7393
2006-10-31,14.9788
2006-11-30,15.2258
2006-12-29,15.7315
2007-01-31,15.8941
2007-02-28,16.1651
2007-03-30,16.4059
2007-04-30,17.3249
2007-05-31,18.1113
2007-06-29,18.2767
2007-07-31,18.0002
2007-08-31,17.3010
2007-09-28,17.1383
2007-10-31,17.1431
2007-11-30,17.3293
2007-12-31,17.8367
2008-01-31,17.7998
2008-02-29,17.6272
2008-03-31,16.7062
2008-04-30,16.2617
2008-05-30,16.3866
2008-06-30,16.7694
2008-07-31,16.8332
2008-08-29,16.5688
2008-09-30,16.0549
2008-10-31,14.8852
2008-11-28,13.4169
2008-12-31,11.9764
2009-01-30,11.6456
2009-02-27,11.5988
2009-03-31,10.4122
2009-04-30,9.1699
2009-05-29,8.3784
2009-06-30,8.7684
2009-07-31,9.2515
2009-08-31,9.7022
2009-09-30,10.0998
2009-10-30,10.4183
2009-11-30,10.8106
2009-12-31,11.5056
2010-01-29,12.0069
2010-02-26,12.2873
2010-03-31,12.3408
2010-04-30,12.4334
2010-05-31,0
2010-06-30,12.1832
2010-07-30,12.2011
2010-08-31,12.6779
2010-09-30,13.3619
2010-10-29,14.0619
2010-11-30,14.3965
2010-12-31,14.4360
