,SMA_daily_60
2000-01-31,3.7091
2000-02-29,3.8122
2000-03-31,4.0274
2000-04-28,4.3141
2000-05-31,4.8450
2000-06-30,5.0269
2000-07-31,5.2257
2000-08-31,5.5876
2000-09-29,6.0605
2000-10-31,6.1431
2000-11-30,6.0180
2000-12-29,6.0859
2001-01-31,6.4584
2001-02-28,6.9679
2001-03-30,7.3513
2001-04-30,7.4277
2001-05-31,7.4605
2001-06-29,7.5733
2001-07-31,7.9420
2001-08-31,8.3236
2001-09-28,8.2830
2001-10-31,8.0351
2001-11-30,7.8386
2001-12-31,8.4165
2002-01-31,8.8941
2002-02-28,9.3776
2002-03-29,0
2002-04-30,10.5231
2002-05-31,10.6083
2002-06-28,10.1778
2002-07-31,9.5230
2002-08-30,9.1605
2002-09-30,9.0676
2002-10-31,9.2493
2002-11-29,9.5659
2002-12-31,9.9283
2003-01-31,10.0991
2003-02-28,9.7893
2003-03-31,9.4845
2003-04-30,9.7353
2003-05-30,10.3199
2003-06-30,10.8614
2003-07-31,11.4254
2003-08-29,12.3449
2003-09-30,13.4634
2003-10-31,14.9122
2003-11-28,16.3621
2003-12-31,17.3024
2004-01-30,17.4404
2004-02-27,17.0074
2004-03-31,17.4770
2004-04-30,18.5016
2004-05-31,0
2004-06-30,20.8367
2004-07-30,21.6721
2004-08-31,22.0488
2004-09-30,21.7427
2004-10-29,21.3947
2004-11-30,22.2103
2004-12-31,23.3608
2005-01-31,23.9582
2005-02-28,24.1408
2005-03-31,24.4915
2005-04-29,25.0575
2005-05-31,25.5572
2005-06-30,26.3731
2005-07-29,27.3626
2005-08-31,27.5783
2005-09-30,27.5761
2005-10-31,27.0677
2005-11-30,27.9155
2005-12-30,28.8774
2006-01-31,29.7470
2006-02-28,30.4108
2006-03-31,32.5649
2006-04-28,35.0914
2006-05-31,35.9367
2006-06-30,34.8024
2006-07-31,33.2156
2006-08-31,31.5992
2006-09-29,30.8817
2006-10-31,30.7082
2006-11-30,31.5668
2006-12-29,31.5231
2007-01-31,30.8874
2007-02-28,29.7714
2007-03-30,28.5819
2007-04-30,28.5428
2007-05-31,29.4966
2007-06-29,31.1340
2007-07-31,30.3596
2007-08-31,28.6225
2007-09-28,25.6723
2007-10-31,22.8830
2007-11-30,19.5551
2007-12-31,17.9151
2008-01-31,16.4955
2008-02-29,16.3038
2008-03-31,15.9861
2008-04-30,16.1923
2008-05-30,16.4913
2008-06-30,16.6043
2008-07-31,16.1962
2008-08-29,16.8898
2008-09-30,18.1986
2008-10-31,17.5139
2008-11-28,15.5012
2008-12-31,13.5788
2009-01-30,13.5003
2009-02-27,13.3859
2009-03-31,12.2339
2009-04-30,11.8874
2009-05-29,12.7515
2009-06-30,14.0308
2009-07-31,15.0064
2009-08-31,16.6190
2009-09-30,18.5032
2009-10-30,19.0924
2009-11-30,18.1646
2009-12-31,16.9088
2010-01-29,16.0977
2010-02-26,16.1553
2010-03-31,17.3832
2010-04-30,18.9173
2010-05-31,0
2010-06-30,20.4036
2010-07-30,19.7062
2010-08-31,18.5856
2010-09-30,17.7127
2010-10-29,17.2581
2010-11-30,17.6523
2010-12-31,18.5838
2011-01-31,19.4908
2011-02-28,20.5361
2011-03-31,21.0848
2011-04-29,21.9249
2011-05-31,23.4023
2011-06-30,24.6690
2011-07-29,25.1204
2011-08-31,23.7420
2011-09-30,23.0356
2011-10-31,23.3912
2011-11-30,24.6286
2011-12-30,25.6751
2012-01-31,26.7600
2012-02-29,28.8875
2012-03-30,31.1711
2012-04-30,32.4678
2012-05-31,32.6758
2012-06-29,32.9521
2012-07-31,33.5136
2012-08-31,34.0896
2012-09-28,34.7474
2012-10-31,35.9361
2012-11-30,37.0511
2012-12-31,37.2762
2013-01-31,38.1436
2013-02-28,39.4050
2013-03-29,0
2013-04-30,42.3850
2013-05-31,44.3760
2013-06-28,45.9102
2013-07-31,47.5935
2013-08-30,48.1455
2013-09-30,49.0363
2013-10-31,49.3951
2013-11-29,49.9126
2013-12-31,50.1868
2014-01-31,50.8197
2014-02-28,51.2653
2014-03-31,52.4338
2014-04-30,53.5508
2014-05-30,54.0363
2014-06-30,53.2310
2014-07-31,52.3927
2014-08-29,51.7869
2014-09-30,51.0758
2014-10-31,51.4576
2014-11-28,52.4857
2014-12-31,54.8419
2015-01-30,57.0560
2015-02-27,59.3487
2015-03-31,61.8444
2015-04-30,63.3833
2015-05-29,63.2090
2015-06-30,63.3820
2015-07-31,64.3610
2015-08-31,65.2354
2015-09-30,65.8302
2015-10-30,68.0991
2015-11-30,71.9677
2015-12-31,75.2804
2016-01-29,75.1980
2016-02-29,74.5532
2016-03-31,75.4039
2016-04-29,79.3092
2016-05-31,82.5910
2016-06-30,84.7287
2016-07-29,87.4607
2016-08-31,91.4013
2016-09-30,92.9552
2016-10-31,91.2071
2016-11-30,90.2846
2016-12-30,93.7403
2017-01-31,97.6994
2017-02-28,101.7600
2017-03-31,106.6760
2017-04-28,110.8888
2017-05-31,113.6829
2017-06-30,114.5282
2017-07-31,113.0894
2017-08-31,107.6929
2017-09-29,102.8760
2017-10-31,104.0818
2017-11-30,109.8127
2017-12-29,117.0538
2018-01-31,122.5364
2018-02-28,127.3764
2018-03-30,0
2018-04-30,136.4533
