,SMA_daily_60
2000-01-31,60.3492
2000-02-29,61.9229
2000-03-31,61.4254
2000-04-28,52.1937
2000-05-31,37.2783
2000-06-30,24.3087
2000-07-31,25.9350
2000-08-31,27.9142
2000-09-29,29.2246
2000-10-31,29.2350
2000-11-30,29.1146
2000-12-29,30.0446
2001-01-31,34.0804
2001-02-28,36.2637
2001-03-30,34.0025
2001-04-30,29.0983
2001-05-31,27.0871
2001-06-29,28.6412
2001-07-31,28.1567
2001-08-31,23.9379
2001-09-28,20.1250
2001-10-31,16.6596
2001-11-30,16.8858
2001-12-31,18.9462
2002-01-31,19.6787
2002-02-28,19.0183
2002-03-29,0
2002-04-30,16.4900
2002-05-31,13.1083
2002-06-28,10.1779
2002-07-31,8.5808
2002-08-30,7.8146
2002-09-30,6.8304
2002-10-31,5.7917
2002-11-29,5.7933
2002-12-31,6.1046
2003-01-31,6.2779
2003-02-28,5.7937
2003-03-31,5.6042
2003-04-30,5.8771
2003-05-30,6.8996
2003-06-30,7.7887
2003-07-31,8.1321
2003-08-29,8.0671
2003-09-30,8.4196
2003-10-31,8.7112
2003-11-28,8.6842
2003-12-31,8.7967
2004-01-30,9.5271
2004-02-27,10.5446
2004-03-31,11.2183
2004-04-30,11.7946
2004-05-31,0
2004-06-30,11.9662
2004-07-30,11.4183
2004-08-31,11.3512
2004-09-30,11.6433
2004-10-29,12.5746
2004-11-30,13.4437
2004-12-31,14.0617
2005-01-31,14.1342
2005-02-28,14.2392
2005-03-31,13.8879
2005-04-29,13.7092
2005-05-31,13.5458
2005-06-30,14.5187
2005-07-29,15.8650
2005-08-31,16.4204
2005-09-30,16.4408
2005-10-31,16.1192
2005-11-30,15.9804
2005-12-30,15.3737
2006-01-31,15.5442
2006-02-28,15.7712
2006-03-31,15.9861
2006-04-28,15.8023
2006-05-31,15.1060
2006-06-30,13.9868
2006-07-31,13.1817
2006-08-31,13.7808
2006-09-29,15.2608
2006-10-31,17.2518
2006-11-30,18.5985
2006-12-29,19.1300
2007-01-31,18.7608
2007-02-28,18.9327
2007-03-30,19.0558
2007-04-30,19.1833
2007-05-31,18.6438
2007-06-29,19.0230
2007-07-31,18.8982
2007-08-31,18.3390
2007-09-28,17.2173
2007-10-31,17.4670
2007-11-30,17.7757
2007-12-31,18.0030
2008-01-31,17.1973
2008-02-29,16.6783
2008-03-31,15.7147
2008-04-30,15.6348
2008-05-30,16.4075
2008-06-30,17.4617
2008-07-31,18.2648
2008-08-29,19.0365
2008-09-30,19.5288
2008-10-31,17.6117
2008-11-28,14.7327
2008-12-31,12.1415
2009-01-30,11.0637
2009-02-27,10.4325
2009-03-31,9.3640
2009-04-30,9.7133
2009-05-29,10.3972
2009-06-30,11.4730
2009-07-31,11.7740
2009-08-31,12.4805
2009-09-30,13.1313
2009-10-30,13.9920
2009-11-30,14.7307
2009-12-31,15.5268
2010-01-29,16.0265
2010-02-26,16.4185
2010-03-31,17.2028
2010-04-30,18.1838
2010-05-31,0
2010-06-30,17.6598
2010-07-30,16.8447
2010-08-31,17.0745
2010-09-30,17.8412
2010-10-29,18.7942
2010-11-30,20.3083
2010-12-31,21.7948
2011-01-31,22.7338
2011-02-28,23.2295
2011-03-31,22.9887
2011-04-29,22.9950
2011-05-31,22.7690
2011-06-30,22.7723
2011-07-29,22.4185
2011-08-31,20.6288
2011-09-30,18.4817
2011-10-31,17.1610
2011-11-30,18.2560
2011-12-30,19.5190
2012-01-31,20.3123
2012-02-29,22.3215
2012-03-30,25.2730
2012-04-30,25.4125
2012-05-31,23.2287
2012-06-29,20.6303
2012-07-31,20.0813
2012-08-31,20.6130
2012-09-28,21.3037
2012-10-31,21.8658
2012-11-30,21.2680
2012-12-31,21.0162
2013-01-31,21.7380
2013-02-28,22.8823
2013-03-29,0
2013-04-30,23.9480
2013-05-31,24.2077
2013-06-28,23.9930
2013-07-31,25.3190
2013-08-30,26.2508
2013-09-30,27.3225
2013-10-31,27.7188
2013-11-29,29.1413
2013-12-31,30.8335
2014-01-31,33.4465
2014-02-28,35.2532
2014-03-31,36.7863
2014-04-30,36.5989
2014-05-30,35.8936
2014-06-30,36.0515
2014-07-31,37.2853
2014-08-29,38.0586
2014-09-30,38.1940
2014-10-31,37.5687
2014-11-28,37.3018
2014-12-31,37.0480
2015-01-30,36.5275
2015-02-27,35.3694
2015-03-31,34.4925
2015-04-30,35.4331
2015-05-29,37.2502
2015-06-30,39.6799
2015-07-31,40.3146
2015-08-31,38.5576
2015-09-30,35.4187
2015-10-30,33.9087
2015-11-30,34.4136
2015-12-31,35.1822
2016-01-29,34.0367
2016-02-29,31.7698
2016-03-31,30.8243
2016-04-29,32.0562
2016-05-31,34.1077
2016-06-30,36.0427
2016-07-29,37.4307
2016-08-31,39.6057
2016-09-30,41.7348
2016-10-31,43.9158
2016-11-30,45.7255
2016-12-30,46.8173
2017-01-31,48.1533
2017-02-28,50.2543
2017-03-31,53.0722
2017-04-28,53.8647
2017-05-31,53.9115
2017-06-30,55.2538
2017-07-31,56.3223
2017-08-31,55.7702
2017-09-29,55.4100
2017-10-31,57.0167
2017-11-30,60.7358
2017-12-29,62.3685
2018-01-31,64.7323
2018-02-28,66.8640
2018-03-30,0
2018-04-30,77.4272
2018-05-31,82.1907
2018-06-29,87.0530
2018-07-31,92.0520
2018-08-31,95.2713
2018-09-28,97.8938
2018-10-31,96.7380
2018-11-30,93.2487
2018-12-31,86.9733
2019-01-31,84.5510
2019-02-28,85.9932
2019-03-29,88.6207
2019-04-30,92.6005
2019-05-31,91.0208
2019-06-28,89.3498
2019-07-31,86.2867
2019-08-30,79.0252
2019-09-30,71.8203
2019-10-31,65.9978
2019-11-29,68.7185
2019-12-31,71.5247
2020-01-31,76.4575
2020-02-28,79.8367
2020-03-31,73.9892
2020-04-30,67.8323
2020-05-29,63.5293
2020-06-30,71.6220
