,SMA_daily_60
2000-01-31,9.1674
2000-02-29,8.9571
2000-03-31,8.6342
2000-04-28,8.7586
2000-05-31,9.3906
2000-06-30,9.5444
2000-07-31,9.3897
2000-08-31,9.3580
2000-09-29,9.7396
2000-10-31,10.3121
2000-11-30,10.6877
2000-12-29,11.1712
2001-01-31,11.4335
2001-02-28,11.8467
2001-03-30,11.9013
2001-04-30,12.0539
2001-05-31,12.3013
2001-06-29,12.5196
2001-07-31,12.3787
2001-08-31,11.7570
2001-09-28,10.8269
2001-10-31,9.5331
2001-11-30,8.7462
2001-12-31,9.2644
2002-01-31,9.9352
2002-02-28,10.5162
2002-03-29,0
2002-04-30,11.5480
2002-05-31,11.4891
2002-06-28,11.1822
2002-07-31,10.8796
2002-08-30,10.5533
2002-09-30,10.0609
2002-10-31,9.5963
2002-11-29,9.6926
2002-12-31,9.9095
2003-01-31,10.2650
2003-02-28,10.1947
2003-03-31,10.0510
2003-04-30,9.8782
2003-05-30,10.1702
2003-06-30,10.8780
2003-07-31,11.6366
2003-08-29,12.1871
2003-09-30,12.6153
2003-10-31,13.1855
2003-11-28,13.6125
2003-12-31,14.3901
2004-01-30,15.0324
2004-02-27,15.5251
2004-03-31,15.2623
2004-04-30,14.8877
2004-05-31,0
2004-06-30,14.4563
2004-07-30,14.6487
2004-08-31,15.2048
2004-09-30,15.5153
2004-10-29,15.5434
2004-11-30,15.8038
2004-12-31,16.3179
2005-01-31,16.8352
2005-02-28,17.0335
2005-03-31,17.0381
2005-04-29,17.0532
2005-05-31,17.2767
2005-06-30,17.5405
2005-07-29,17.6666
2005-08-31,17.4424
2005-09-30,17.3360
2005-10-31,17.3415
2005-11-30,17.6250
2005-12-30,18.2534
2006-01-31,18.9217
2006-02-28,19.4424
2006-03-31,19.7359
2006-04-28,20.1739
2006-05-31,20.9311
2006-06-30,21.3409
2006-07-31,21.4157
2006-08-31,21.2154
2006-09-29,21.4511
2006-10-31,21.9654
2006-11-30,22.4306
2006-12-29,22.4563
2007-01-31,22.4023
2007-02-28,22.6906
2007-03-30,22.9113
2007-04-30,23.0735
2007-05-31,23.3157
2007-06-29,24.0517
2007-07-31,25.0109
2007-08-31,25.6448
2007-09-28,26.3090
2007-10-31,26.8698
2007-11-30,27.0285
2007-12-31,26.9129
2008-01-31,26.2823
2008-02-29,26.0653
2008-03-31,25.1527
2008-04-30,25.1206
2008-05-30,25.3271
2008-06-30,25.1488
2008-07-31,23.9557
2008-08-29,23.1578
2008-09-30,22.8253
2008-10-31,21.1637
2008-11-28,19.3945
2008-12-31,17.9734
2009-01-30,18.0550
2009-02-27,17.6455
2009-03-31,16.5234
2009-04-30,16.1273
2009-05-29,17.0817
2009-06-30,18.7524
2009-07-31,19.3912
2009-08-31,19.9910
2009-09-30,21.0960
2009-10-30,22.5029
2009-11-30,23.6396
2009-12-31,24.7262
2010-01-29,25.5630
2010-02-26,25.6335
2010-03-31,26.0953
2010-04-30,26.7727
2010-05-31,0
2010-06-30,26.3583
2010-07-30,25.5337
2010-08-31,25.6865
2010-09-30,26.1203
2010-10-29,26.7263
2010-11-30,27.6483
2010-12-31,28.9066
2011-01-31,29.6931
2011-02-28,30.7261
2011-03-31,31.2558
2011-04-29,31.9705
2011-05-31,32.6237
2011-06-30,32.9990
2011-07-29,33.2688
2011-08-31,31.1858
2011-09-30,29.4511
2011-10-31,28.0513
2011-11-30,28.7874
2011-12-30,29.1484
2012-01-31,29.4116
2012-02-29,30.3363
2012-03-30,31.7367
2012-04-30,32.2864
2012-05-31,31.3439
2012-06-29,30.1236
2012-07-31,29.2789
2012-08-31,29.9252
2012-09-28,30.6207
2012-10-31,31.2150
2012-11-30,31.1070
2012-12-31,31.3958
2013-01-31,32.7039
2013-02-28,34.3319
2013-03-29,0
2013-04-30,36.9176
2013-05-31,37.7324
2013-06-28,37.8854
2013-07-31,39.0934
2013-08-30,40.4209
2013-09-30,42.3825
2013-10-31,42.9299
2013-11-29,43.7940
2013-12-31,44.2135
2014-01-31,45.3577
2014-02-28,45.9673
2014-03-31,46.7681
2014-04-30,47.4122
2014-05-30,47.7993
2014-06-30,48.1251
2014-07-31,47.4625
2014-08-29,46.1816
2014-09-30,44.9197
2014-10-31,43.8568
2014-11-28,44.0053
2014-12-31,45.2165
2015-01-30,47.1380
2015-02-27,48.8123
2015-03-31,49.6870
2015-04-30,49.8929
2015-05-29,49.4273
2015-06-30,49.0443
2015-07-31,47.5487
2015-08-31,44.4545
2015-09-30,41.0584
2015-10-30,39.7645
2015-11-30,40.3257
2015-12-31,41.1248
2016-01-29,40.1485
2016-02-29,38.9439
2016-03-31,39.5049
2016-04-29,41.9384
2016-05-31,43.4617
2016-06-30,43.9508
2016-07-29,44.1828
2016-08-31,45.5225
2016-09-30,45.8994
2016-10-31,45.1603
2016-11-30,44.9248
2016-12-30,46.1208
2017-01-31,47.7223
2017-02-28,48.4820
2017-03-31,49.0523
2017-04-28,49.6604
2017-05-31,51.2581
2017-06-30,52.7972
2017-07-31,53.8299
2017-08-31,53.3178
2017-09-29,52.1953
2017-10-31,51.8948
2017-11-30,52.3324
2017-12-29,54.0539
2018-01-31,56.5604
2018-02-28,58.3894
2018-03-30,0
2018-04-30,57.3248
2018-05-31,56.3857
2018-06-29,56.2903
2018-07-31,57.6223
2018-08-31,59.1693
2018-09-28,60.9042
2018-10-31,60.9574
2018-11-30,60.0722
2018-12-31,56.6460
2019-01-31,53.9817
2019-02-28,53.6388
2019-03-29,55.6568
2019-04-30,59.5228
2019-05-31,61.2426
2019-06-28,61.4980
2019-07-31,60.8889
2019-08-30,60.1640
2019-09-30,61.3869
2019-10-31,62.4175
2019-11-29,65.6813
2019-12-31,67.8275
2020-01-31,70.2069
2020-02-28,70.4785
2020-03-31,62.9224
2020-04-30,58.0588
2020-05-29,53.8195
2020-06-30,59.8542
2020-07-31,59.4801
2020-08-31,59.7704
2020-09-30,58.4022
2020-10-30,58.1282
2020-11-30,59.6992
2020-12-31,64.0751
2021-01-29,67.1787
2021-02-26,68.9355
2021-03-31,71.1163
2021-04-30,74.7967
2021-05-31,0
2021-06-30,82.7853
2021-07-30,84.8877
2021-08-31,84.9677
2021-09-30,84.2690
2021-10-29,85.8352
2021-11-30,86.6279
2021-12-31,86.3307
2022-01-31,86.4331
2022-02-28,88.8865
2022-03-31,94.7042
