,SMA_daily_60
2000-01-31,91.3629
2000-02-29,86.1487
2000-03-31,82.4176
2000-04-28,85.5887
2000-05-31,93.6145
2000-06-30,98.8449
2000-07-31,95.6860
2000-08-31,87.6529
2000-09-29,81.7838
2000-10-31,75.6005
2000-11-30,76.7988
2000-12-29,73.3994
2001-01-31,72.1576
2001-02-28,68.5068
2001-03-30,68.6378
2001-04-30,67.6002
2001-05-31,68.8367
2001-06-29,73.6682
2001-07-31,84.6369
2001-08-31,95.0477
2001-09-28,100.7148
2001-10-31,107.1762
2001-11-30,111.3845
2001-12-31,113.4064
2002-01-31,114.2008
2002-02-28,117.4404
2002-03-29,0
2002-04-30,135.0186
2002-05-31,144.9558
2002-06-28,148.4464
2002-07-31,135.5151
2002-08-30,120.0028
2002-09-30,107.4259
2002-10-31,98.0887
2002-11-29,89.2649
2002-12-31,86.0792
2003-01-31,85.1907
2003-02-28,82.1182
2003-03-31,77.6695
2003-04-30,78.5398
2003-05-30,85.0532
2003-06-30,99.3081
2003-07-31,111.9088
2003-08-29,121.5596
2003-09-30,126.0784
2003-10-31,131.2047
2003-11-28,133.1648
2003-12-31,137.4635
2004-01-30,144.0859
2004-02-27,151.2489
2004-03-31,155.1254
2004-04-30,158.5303
2004-05-31,0
2004-06-30,167.2537
2004-07-30,164.6100
2004-08-31,158.7802
2004-09-30,151.7133
2004-10-29,151.5940
2004-11-30,159.8991
2004-12-31,173.0159
2005-01-31,180.5550
2005-02-28,182.0178
2005-03-31,179.9035
2005-04-29,181.0925
2005-05-31,180.4038
2005-06-30,180.4086
2005-07-29,182.2961
2005-08-31,188.7379
2005-09-30,186.1702
2005-10-31,179.2176
2005-11-30,175.0605
2005-12-30,178.6361
2006-01-31,182.7484
2006-02-28,181.3510
2006-03-31,179.4917
2006-04-28,174.1254
2006-05-31,169.3889
2006-06-30,166.0309
2006-07-31,167.6624
2006-08-31,163.4093
2006-09-29,163.2817
2006-10-31,170.1845
2006-11-30,183.2785
2006-12-29,194.0373
2007-01-31,200.3553
2007-02-28,207.9459
2007-03-30,214.1354
2007-04-30,225.3200
2007-05-31,245.0200
2007-06-29,261.7308
2007-07-31,267.3335
2007-08-31,254.3765
2007-09-28,243.4782
2007-10-31,227.3475
2007-11-30,224.5857
2007-12-31,223.4033
2008-01-31,207.7795
2008-02-29,186.2567
2008-03-31,167.7016
2008-04-30,170.9039
2008-05-30,182.9758
2008-06-30,191.6107
2008-07-31,186.8379
2008-08-29,169.2385
2008-09-30,151.4497
2008-10-31,127.3734
2008-11-28,102.9590
2008-12-31,80.6272
2009-01-30,84.4828
2009-02-27,95.7712
2009-03-31,101.2150
2009-04-30,95.2480
2009-05-29,93.1851
2009-06-30,95.7365
2009-07-31,91.9213
2009-08-31,88.7890
2009-09-30,89.9345
2009-10-30,94.9015
2009-11-30,97.3848
2009-12-31,93.1309
2010-01-29,89.5879
2010-02-26,88.8531
2010-03-31,97.0678
2010-04-30,101.5849
2010-05-31,0
2010-06-30,88.8386
2010-07-30,78.1162
2010-08-31,72.2554
2010-09-30,70.2401
2010-10-29,70.4093
2010-11-30,69.2113
2010-12-31,64.1220
2011-01-31,57.3024
2011-02-28,54.0849
2011-03-31,52.5365
2011-04-29,57.9637
2011-05-31,63.4665
2011-06-30,64.9867
2011-07-29,62.3246
2011-08-31,55.1875
2011-09-30,51.5837
