,SMA_daily_60
2000-01-31,23.9183
2000-02-29,22.3142
2000-03-31,21.9249
2000-04-28,22.2124
2000-05-31,23.7825
2000-06-30,25.6181
2000-07-31,26.2887
2000-08-31,26.5384
2000-09-29,26.0304
2000-10-31,25.1379
2000-11-30,25.5277
2000-12-29,27.4607
2001-01-31,29.4173
2001-02-28,30.6167
2001-03-30,30.7117
2001-04-30,31.9458
2001-05-31,33.8407
2001-06-29,35.2065
2001-07-31,34.9182
2001-08-31,34.6788
2001-09-28,33.7880
2001-10-31,32.1591
2001-11-30,30.3396
2001-12-31,31.1858
2002-01-31,32.6044
2002-02-28,34.0636
2002-03-29,0
2002-04-30,39.2292
2002-05-31,41.7619
2002-06-28,42.2990
2002-07-31,40.5520
2002-08-30,38.2881
2002-09-30,35.9053
2002-10-31,34.4844
2002-11-29,32.9873
2002-12-31,31.9956
2003-01-31,31.8747
2003-02-28,30.9497
2003-03-31,29.3310
2003-04-30,28.0051
2003-05-30,28.3938
2003-06-30,30.5098
2003-07-31,32.3206
2003-08-29,33.9770
2003-09-30,34.6231
2003-10-31,34.9853
2003-11-28,34.5559
2003-12-31,35.2224
2004-01-30,36.2081
2004-02-27,37.6217
2004-03-31,38.3178
2004-04-30,38.3766
2004-05-31,0
2004-06-30,36.6780
2004-07-30,35.5854
2004-08-31,34.9657
2004-09-30,33.7301
2004-10-29,33.7899
2004-11-30,35.2253
2004-12-31,37.5796
2005-01-31,39.1202
2005-02-28,39.5304
2005-03-31,39.6319
2005-04-29,40.3722
2005-05-31,41.5930
2005-06-30,43.5817
2005-07-29,46.0249
2005-08-31,49.8128
2005-09-30,52.8991
2005-10-31,54.0235
2005-11-30,53.6627
2005-12-30,52.6153
2006-01-31,52.1256
2006-02-28,51.3832
2006-03-31,52.0104
2006-04-28,53.5657
2006-05-31,53.7909
2006-06-30,50.0067
2006-07-31,45.7034
2006-08-31,43.8987
2006-09-29,44.3550
2006-10-31,46.2197
2006-11-30,48.3405
2006-12-29,50.8260
2007-01-31,52.4290
2007-02-28,53.3204
2007-03-30,53.9698
2007-04-30,55.0197
2007-05-31,57.8475
2007-06-29,61.8477
2007-07-31,65.4159
2007-08-31,64.3994
2007-09-28,63.1247
2007-10-31,61.1309
2007-11-30,57.9855
2007-12-31,53.7092
2008-01-31,49.7507
2008-02-29,48.9709
2008-03-31,46.4813
2008-04-30,44.2658
2008-05-30,43.9040
2008-06-30,46.3582
2008-07-31,47.2933
2008-08-29,49.3835
2008-09-30,51.8486
2008-10-31,50.0210
2008-11-28,45.6725
2008-12-31,40.4714
2009-01-30,40.8192
2009-02-27,41.9460
2009-03-31,40.6132
2009-04-30,37.3870
2009-05-29,35.7560
2009-06-30,36.9968
2009-07-31,38.6969
2009-08-31,39.1614
2009-09-30,39.8679
2009-10-30,40.8100
2009-11-30,42.7460
2009-12-31,44.8010
2010-01-29,47.3358
2010-02-26,49.1597
2010-03-31,52.3956
2010-04-30,54.2305
2010-05-31,0
2010-06-30,51.8351
2010-07-30,49.3237
2010-08-31,47.6866
2010-09-30,47.1869
2010-10-29,48.0088
2010-11-30,48.9147
2010-12-31,48.5162
2011-01-31,48.1912
2011-02-28,49.9142
2011-03-31,51.2290
2011-04-29,52.4543
2011-05-31,53.5899
2011-06-30,54.5363
2011-07-29,55.0484
2011-08-31,52.2386
2011-09-30,50.5388
2011-10-31,49.3370
2011-11-30,51.4172
2011-12-30,53.4374
2012-01-31,54.6747
2012-02-29,55.4418
2012-03-30,55.3091
2012-04-30,55.6832
2012-05-31,55.6692
2012-06-29,55.5900
2012-07-31,55.5850
2012-08-31,57.1114
2012-09-28,59.8140
2012-10-31,62.0174
2012-11-30,63.6753
2012-12-31,64.0462
2013-01-31,65.9854
2013-02-28,68.6074
2013-03-29,0
2013-04-30,75.7334
2013-05-31,76.2352
2013-06-28,74.7631
2013-07-31,73.4833
2013-08-30,73.0220
2013-09-30,73.8622
2013-10-31,76.3447
2013-11-29,82.1785
2013-12-31,87.0514
2014-01-31,89.9599
2014-02-28,90.2357
2014-03-31,93.2498
2014-04-30,96.1890
2014-05-30,98.9646
2014-06-30,99.4673
2014-07-31,100.8587
2014-08-29,101.3026
2014-09-30,102.2635
2014-10-31,103.1629
2014-11-28,105.5766
2014-12-31,108.6590
2015-01-30,109.4974
2015-02-27,109.2777
2015-03-31,110.8646
2015-04-30,114.5209
2015-05-29,117.9509
2015-06-30,122.4014
2015-07-31,127.7643
2015-08-31,129.2107
2015-09-30,128.6458
2015-10-30,125.3925
2015-11-30,125.6546
2015-12-31,125.8486
2016-01-29,127.2089
