,SMA_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,4.0081
2010-10-29,4.0506
2010-11-30,4.7261
2010-12-31,5.4268
2011-01-31,5.7488
2011-02-28,5.2940
2011-03-31,4.8274
2011-04-29,4.8804
2011-05-31,5.1707
2011-06-30,5.4581
2011-07-29,5.6019
2011-08-31,5.3603
2011-09-30,5.1303
2011-10-31,5.1094
2011-11-30,5.6598
2011-12-30,6.0266
2012-01-31,5.9849
2012-02-29,6.0067
2012-03-30,6.4152
2012-04-30,6.8020
2012-05-31,6.6231
2012-06-29,6.2682
2012-07-31,6.1334
2012-08-31,6.0697
2012-09-28,5.9480
2012-10-31,5.8013
2012-11-30,5.9675
2012-12-31,6.2872
2013-01-31,6.7690
2013-02-28,7.1082
2013-03-29,0
2013-04-30,8.0991
2013-05-31,11.3475
2013-06-28,15.4873
2013-07-31,20.9612
2013-08-30,25.4927
2013-09-30,30.0916
2013-10-31,33.7053
2013-11-29,32.4430
2013-12-31,30.2524
2014-01-31,29.6462
2014-02-28,34.2546
2014-03-31,40.3517
2014-04-30,43.3582
2014-05-30,42.3507
2014-06-30,41.6912
2014-07-31,42.9162
2014-08-29,46.9035
2014-09-30,49.7361
