,SMA_daily_60
2000-01-31,12.2671
2000-02-29,10.8727
2000-03-31,9.0283
2000-04-28,7.8932
2000-05-31,7.6547
2000-06-30,7.4951
2000-07-31,7.1922
2000-08-31,6.9635
2000-09-29,7.0174
2000-10-31,7.3710
2000-11-30,8.3660
2000-12-29,9.0236
2001-01-31,9.4766
2001-02-28,9.4695
2001-03-30,9.6017
2001-04-30,9.8643
2001-05-31,9.9293
2001-06-29,9.3907
2001-07-31,8.3897
2001-08-31,7.6688
2001-09-28,7.5909
2001-10-31,7.4894
2001-11-30,7.6319
2001-12-31,8.0417
2002-01-31,8.7977
2002-02-28,9.2023
2002-03-29,0
2002-04-30,9.8308
2002-05-31,10.2732
2002-06-28,10.8415
2002-07-31,10.7226
2002-08-30,10.0131
2002-09-30,9.2832
2002-10-31,8.7716
2002-11-29,8.8420
2002-12-31,8.6820
2003-01-31,8.7985
2003-02-28,8.1997
2003-03-31,7.3430
2003-04-30,6.7153
2003-05-30,6.7638
2003-06-30,7.4873
2003-07-31,8.1535
2003-08-29,8.6200
2003-09-30,9.3220
2003-10-31,10.2162
2003-11-28,10.9158
2003-12-31,10.9646
2004-01-30,10.8678
2004-02-27,11.4302
2004-03-31,12.5471
2004-04-30,13.7337
2004-05-31,0
2004-06-30,15.3742
2004-07-30,15.8225
2004-08-31,15.4869
2004-09-30,14.3544
2004-10-29,13.0924
2004-11-30,12.5616
2004-12-31,12.8358
2005-01-31,13.5469
2005-02-28,13.6751
2005-03-31,13.6360
2005-04-29,13.3423
2005-05-31,13.7891
2005-06-30,14.1884
2005-07-29,14.6699
2005-08-31,14.3983
2005-09-30,14.3124
2005-10-31,14.1591
2005-11-30,14.0937
2005-12-30,13.8359
2006-01-31,13.4049
2006-02-28,12.6508
2006-03-31,11.6355
2006-04-28,11.0164
2006-05-31,11.4523
2006-06-30,11.9072
2006-07-31,12.1357
2006-08-31,11.5826
2006-09-29,11.8192
2006-10-31,11.9870
2006-11-30,12.2346
2006-12-29,12.4681
2007-01-31,12.9369
2007-02-28,13.8208
2007-03-30,14.3851
2007-04-30,15.4539
2007-05-31,16.4867
2007-06-29,17.6080
2007-07-31,18.3050
2007-08-31,17.9032
2007-09-28,16.8236
2007-10-31,15.1649
2007-11-30,13.5629
2007-12-31,12.6958
2008-01-31,11.8534
2008-02-29,11.6846
2008-03-31,12.0025
2008-04-30,13.1099
2008-05-30,14.1931
2008-06-30,13.9145
2008-07-31,13.2025
2008-08-29,12.6465
2008-09-30,12.2038
2008-10-31,10.6006
2008-11-28,8.0998
2008-12-31,6.5192
2009-01-30,6.1553
2009-02-27,6.8342
2009-03-31,7.2736
2009-04-30,7.8360
2009-05-29,8.9988
2009-06-30,10.0940
2009-07-31,10.5015
2009-08-31,10.0550
2009-09-30,10.0110
2009-10-30,10.1939
2009-11-30,10.5256
2009-12-31,10.4923
2010-01-29,10.7821
2010-02-26,11.5919
2010-03-31,13.3583
2010-04-30,15.1827
2010-05-31,0
2010-06-30,15.5298
2010-07-30,14.8099
2010-08-31,14.4859
2010-09-30,14.0952
2010-10-29,13.5172
2010-11-30,13.2875
2010-12-31,13.6296
2011-01-31,14.0262
2011-02-28,14.7543
2011-03-31,15.3709
2011-04-29,16.0887
2011-05-31,16.1648
2011-06-30,15.8874
2011-07-29,15.6009
2011-08-31,15.1559
2011-09-30,14.7162
2011-10-31,14.8401
2011-11-30,15.5663
2011-12-30,16.6247
2012-01-31,16.9198
2012-02-29,16.7657
2012-03-30,16.4845
2012-04-30,16.1777
2012-05-31,16.2010
2012-06-29,15.9981
2012-07-31,15.3904
2012-08-31,14.1578
2012-09-28,13.4694
2012-10-31,13.7086
2012-11-30,14.4653
2012-12-31,15.4574
2013-01-31,16.9308
2013-02-28,18.4552
2013-03-29,0
2013-04-30,20.6972
2013-05-31,21.1788
2013-06-28,21.4965
2013-07-31,22.3873
2013-08-30,24.1570
2013-09-30,25.3588
2013-10-31,25.7328
2013-11-29,25.4423
2013-12-31,26.6678
2014-01-31,28.5062
2014-02-28,30.6759
2014-03-31,33.1295
2014-04-30,35.4509
2014-05-30,36.2330
2014-06-30,34.9778
2014-07-31,34.1030
2014-08-29,33.0788
2014-09-30,33.4990
2014-10-31,33.8189
2014-11-28,34.9590
2014-12-31,35.5918
2015-01-30,35.8498
2015-02-27,35.5928
2015-03-31,35.2126
2015-04-30,34.8891
2015-05-29,35.1880
2015-06-30,36.3325
2015-07-31,37.6354
2015-08-31,37.6236
2015-09-30,37.6799
2015-10-30,38.4912
2015-11-30,39.6287
2015-12-31,42.8519
2016-01-29,44.7454
2016-02-29,49.0762
2016-03-31,53.5823
2016-04-29,57.8990
2016-05-31,59.1327
2016-06-30,57.6200
2016-07-29,58.9956
2016-08-31,62.1630
2016-09-30,65.8614
2016-10-31,65.7419
2016-11-30,62.6800
2016-12-30,58.4899
2017-01-31,56.1492
2017-02-28,56.1057
2017-03-31,56.6371
2017-04-28,57.0837
2017-05-31,55.5786
2017-06-30,55.2750
2017-07-31,54.5811
2017-08-31,56.6468
2017-09-29,57.9801
2017-10-31,61.0822
2017-11-30,65.0830
2017-12-29,69.7503
2018-01-31,72.5791
2018-02-28,71.9564
2018-03-30,0
2018-04-30,66.6456
2018-05-31,64.5600
2018-06-29,63.5741
2018-07-31,61.9580
2018-08-31,59.4443
2018-09-28,57.2978
2018-10-31,56.7735
2018-11-30,56.2434
2018-12-31,54.2959
2019-01-31,53.4910
2019-02-28,54.1264
2019-03-29,57.7259
2019-04-30,62.0031
2019-05-31,67.9869
2019-06-28,72.4260
2019-07-31,75.4256
2019-08-30,78.3038
2019-09-30,80.1158
2019-10-31,80.2420
2019-11-29,79.7066
2019-12-31,81.3900
2020-01-31,83.7946
2020-02-28,81.0643
2020-03-31,70.3619
2020-04-30,61.2492
2020-05-29,55.9653
2020-06-30,58.1730
2020-07-31,58.2287
2020-08-31,59.3345
2020-09-30,59.4337
2020-10-30,58.8910
2020-11-30,58.3094
2020-12-31,60.4192
2021-01-29,62.5036
2021-02-26,64.2846
2021-03-31,67.3764
2021-04-30,71.7871
2021-05-31,0
2021-06-30,76.1720
2021-07-30,74.3310
2021-08-31,73.7035
2021-09-30,74.5481
2021-10-29,77.5911
2021-11-30,78.7879
2021-12-31,81.7984
2022-01-31,85.4275
2022-02-28,89.3204
2022-03-31,90.9900
