,SMA_daily_60
2000-01-31,24.8500
2000-02-29,31.3515
2000-03-31,40.2967
2000-04-28,45.1764
2000-05-31,45.4275
2000-06-30,49.4502
2000-07-31,56.7212
2000-08-31,66.2817
2000-09-29,72.6402
2000-10-31,74.9993
2000-11-30,73.4578
2000-12-29,72.6183
2001-01-31,72.1003
2001-02-28,72.0487
2001-03-30,62.1717
2001-04-30,53.8913
2001-05-31,48.2302
2001-06-29,45.5313
2001-07-31,38.5752
2001-08-31,30.2158
2001-09-28,29.4830
2001-10-31,33.1880
2001-11-30,35.5848
2001-12-31,37.1663
2002-01-31,37.1587
2002-02-28,36.0937
2002-03-29,0
2002-04-30,30.4252
2002-05-31,28.2487
2002-06-28,26.3077
2002-07-31,24.2717
2002-08-30,23.3135
2002-09-30,23.5398
2002-10-31,25.1802
2002-11-29,25.6682
2002-12-31,24.8492
2003-01-31,23.3478
2003-02-28,22.3138
2003-03-31,22.0662
2003-04-30,22.1703
2003-05-30,23.2067
2003-06-30,25.7882
2003-07-31,28.4588
2003-08-29,29.7722
2003-09-30,29.8647
2003-10-31,29.6642
2003-11-28,29.7770
2003-12-31,31.0520
2004-01-30,33.1623
2004-02-27,35.2858
2004-03-31,37.5685
2004-04-30,38.9763
2004-05-31,0
2004-06-30,43.5090
2004-07-30,45.3403
2004-08-31,44.2590
2004-09-30,43.9650
2004-10-29,42.8978
2004-11-30,44.0115
2004-12-31,44.8172
2005-01-31,46.6920
2005-02-28,47.8700
2005-03-31,47.8987
2005-04-29,43.9345
2005-05-31,40.4130
2005-06-30,38.2365
2005-07-29,39.4472
2005-08-31,41.6060
2005-09-30,43.4292
2005-10-31,42.2457
2005-11-30,40.3413
2005-12-30,38.6742
2006-01-31,39.1655
2006-02-28,39.8825
2006-03-31,41.6227
2006-04-28,42.9158
2006-05-31,43.4550
2006-06-30,43.3615
2006-07-31,42.8025
2006-08-31,42.2353
2006-09-29,42.4702
2006-10-31,44.2877
2006-11-30,47.1793
2006-12-29,49.0047
2007-01-31,51.3082
2007-02-28,53.2497
2007-03-30,55.6977
2007-04-30,57.5413
2007-05-31,59.0647
2007-06-29,60.1908
2007-07-31,60.5022
2007-08-31,60.9302
2007-09-28,62.5435
2007-10-31,65.9282
2007-11-30,70.9125
2007-12-31,75.1690
2008-01-31,74.9427
2008-02-29,69.6742
2008-03-31,62.5218
2008-04-30,58.0312
2008-05-30,58.9638
2008-06-30,60.9697
2008-07-31,63.9360
2008-08-29,65.9045
2008-09-30,64.9630
2008-10-31,57.4728
2008-11-28,48.4970
2008-12-31,41.0715
2009-01-30,38.4812
2009-02-27,37.9860
2009-03-31,36.2245
2009-04-30,36.8983
2009-05-29,39.0242
2009-06-30,44.3338
2009-07-31,47.9715
2009-08-31,50.2525
2009-09-30,51.9503
2009-10-30,54.3652
2009-11-30,57.1468
2009-12-31,59.4140
2010-01-29,60.2942
2010-02-26,59.9150
2010-03-31,61.5232
2010-04-30,64.9893
2010-05-31,0
2010-06-30,69.1048
2010-07-30,66.9220
2010-08-31,65.3512
2010-09-30,65.3573
2010-10-29,67.9353
2010-11-30,72.7850
2010-12-31,76.5555
2011-01-31,77.8458
2011-02-28,78.4898
2011-03-31,80.5982
2011-04-29,85.1718
2011-05-31,91.1475
2011-06-30,94.0692
2011-07-29,95.0908
2011-08-31,87.7325
2011-09-30,82.0467
2011-10-31,77.4262
2011-11-30,77.5958
2011-12-30,76.7110
2012-01-31,77.1303
2012-02-29,80.8787
2012-03-30,86.9442
2012-04-30,89.4260
2012-05-31,87.3197
2012-06-29,82.8087
2012-07-31,79.5210
2012-08-31,77.9700
2012-09-28,79.2327
2012-10-31,81.0345
2012-11-30,82.9148
2012-12-31,83.9400
2013-01-31,86.9685
2013-02-28,89.8623
2013-03-29,0
2013-04-30,92.9243
2013-05-31,94.3302
2013-06-28,95.8392
2013-07-31,99.5335
2013-08-30,100.8487
2013-09-30,102.6285
2013-10-31,103.0155
2013-11-29,102.9885
2013-12-31,100.5090
2014-01-31,100.7295
2014-02-28,103.9942
2014-03-31,108.5505
2014-04-30,110.4293
2014-05-30,107.1422
2014-06-30,104.9285
2014-07-31,103.5850
2014-08-29,104.1320
2014-09-30,102.9582
2014-10-31,102.1922
2014-11-28,105.4208
2014-12-31,110.3337
2015-01-30,114.6642
2015-02-27,116.5138
2015-03-31,119.3773
2015-04-30,122.3032
2015-05-29,126.0258
2015-06-30,130.0298
2015-07-31,131.9582
2015-08-31,130.3270
2015-09-30,126.2877
2015-10-30,122.9260
2015-11-30,125.0590
2015-12-31,129.1650
2016-01-29,129.9550
2016-02-29,125.6757
2016-03-31,124.6517
2016-04-29,127.9737
2016-05-31,132.9528
2016-06-30,135.4342
2016-07-29,140.4502
2016-08-31,149.0700
2016-09-30,155.5813
2016-10-31,155.7622
2016-11-30,148.8707
2016-12-30,141.9268
2017-01-31,138.6677
2017-02-28,142.4937
2017-03-31,149.7950
2017-04-28,155.6480
2017-05-31,164.1777
2017-06-30,174.6692
2017-07-31,180.5682
2017-08-31,181.2985
2017-09-29,181.2487
2017-10-31,183.9468
2017-11-30,189.7092
2017-12-29,193.6040
2018-01-31,200.7840
2018-02-28,203.1905
2018-03-30,0
2018-04-30,203.4500
2018-05-31,199.6795
2018-06-29,196.7950
2018-07-31,196.0937
2018-08-31,194.5933
2018-09-28,193.6267
2018-10-31,189.4785
2018-11-30,192.3818
2018-12-31,189.7702
2019-01-31,197.0512
2019-02-28,208.6505
2019-03-29,228.5977
2019-04-30,239.0165
2019-05-31,229.3765
2019-06-28,216.8677
2019-07-31,211.3508
2019-08-30,211.4895
2019-09-30,215.5822
2019-10-31,216.3490
2019-11-29,218.9607
2019-12-31,220.6402
2020-01-31,227.1972
2020-02-28,226.6307
2020-03-31,210.1813
2020-04-30,195.2615
2020-05-29,186.5307
2020-06-30,189.3160
2020-07-31,196.0523
2020-08-31,204.2168
2020-09-30,209.5062
2020-10-30,208.8192
2020-11-30,212.4558
2020-12-31,228.5792
2021-01-29,244.6968
2021-02-26,262.2288
2021-03-31,273.4425
2021-04-30,284.7838
2021-05-31,0
2021-06-30,317.6285
2021-07-30,342.0835
2021-08-31,373.9145
2021-09-30,393.9783
2021-10-29,384.6293
2021-11-30,363.8780
2021-12-31,349.8328
2022-01-31,342.9625
2022-02-28,335.6917
2022-03-31,324.1865
