,Monthly Return ($)
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.026146788990825787
2009-11-01,0.15467143495753222
2009-12-01,-0.03174603174603163
2010-01-01,0.029588164734106304
2010-02-01,-0.019805825242718456
2010-03-01,0.047147385103011086
2010-04-01,0.04351116155883461
2010-05-01,-0.07831762146482946
2010-06-01,-0.10700236034618416
2010-07-01,-0.07180616740088097
2010-08-01,0.024205030849548947
2010-09-01,0.15106580166821137
2010-10-01,-0.028180354267310803
2010-11-01,-0.05260977630488817
2010-12-01,0.12374289462177512
2011-01-01,0.0011673151750972721
2011-02-01,0.06179556937427133
2011-03-01,0.03221083455344065
2011-04-01,0.04148936170212769
2011-05-01,-0.013278855975485171
2011-06-01,-0.06245686680469287
2011-07-01,-0.028708133971291905
2011-08-01,-0.029556650246305494
2011-09-01,-0.06481843030066381
2011-10-01,0.06889352818371619
2011-11-01,-0.032031249999999956
2011-12-01,0.025423728813559254
2012-01-01,-0.05745769382133026
2012-02-01,0.07766179540709817
2012-03-01,0.0046493607129021175
2012-04-01,-0.0007713073659852965
2012-05-01,-0.06445387881126985
2012-06-01,0.05940594059405946
2012-07-01,-0.049454828660436156
2012-08-01,0.07619827939369106
2012-09-01,0.0807004187285878
2012-10-01,-0.06445931666079607
2012-11-01,0.051204819277108626
2012-12-01,0.023638968481375144
2013-01-01,0.08607417774667603
2013-02-01,0.05476804123711343
2013-03-01,0.06872327428222347
2013-04-01,-0.044298370963132494
2013-05-01,0.0989832535885169
2013-06-01,0.0027210884353741083
2013-07-01,0.046675712347354015
2013-08-01,-0.07052113041223751
2013-09-01,0.029288702928870203
2013-10-01,0.05067750677506777
2013-11-01,0.02785659014702091
2013-12-01,-0.0007528230865746499
2014-01-01,0.023857358111501803
2014-02-01,-0.005886681383370118
2014-03-01,-0.007648655317049169
2014-04-01,-0.028841372451516523
2014-05-01,0.09907834101382473
2014-06-01,0.03307710225949223
2014-07-01,-0.01262683201803838
2014-08-01,0.04841287965288865
2014-09-01,-0.014375952951426685
2014-10-01,0.26784530386740335
2014-11-01,0.031375283249085006
2014-12-01,0.002873077573094518
2015-01-01,-0.0006740815638693887
2015-02-01,0.013153456998313606
2015-03-01,-0.00282956058588546
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
