,Monthly Return ($)
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.1596638655462186
2010-04-01,0.09855072463768111
2010-05-01,-0.05013192612137196
2010-06-01,-0.019444444444444486
2010-07-01,0.03399433427762055
2010-08-01,-0.07534246575342463
2010-09-01,-0.03703703703703709
2010-10-01,-0.0006153846153846843
2010-11-01,0.032019704433497775
2010-12-01,0.16169451073985663
2011-01-01,0.07858243451463798
2011-02-01,0.08976190476190493
2011-03-01,0.10618308935984277
2011-04-01,0.1641319375864112
2011-05-01,-0.041567695961995166
2011-06-01,-0.03947601345370866
2011-07-01,-0.004791743457427167
2011-08-01,-0.0762962962962962
2011-09-01,-0.060946271050521195
2011-10-01,-0.019214346712211894
2011-11-01,0.15084893339138006
2011-12-01,0.07698127482504247
2012-01-01,0.012293642430628804
2012-02-01,0.10010409437890355
2012-03-01,0.0006308153288125951
2012-04-01,-0.0469661150512215
2012-05-01,0.03687779063998686
2012-06-01,0.13030303030303036
2012-07-01,0.08536757443205856
2012-08-01,0.0114404576183047
2012-09-01,-0.03521850899742929
2012-10-01,0.03130828670397001
2012-11-01,-0.08474357318175951
2012-12-01,0.07607621736062109
2013-01-01,0.02269150052465907
2013-02-01,0.10799025266127993
2013-03-01,0.20592661187637473
2013-04-01,-0.033019773468996094
2013-05-01,0.11177288068294633
2013-06-01,0.10580357142857144
2013-07-01,0.015260395639886903
2013-08-01,-0.03435660887545722
2013-09-01,0.10986657881732809
2013-10-01,-0.005342831700801409
2013-11-01,0.007908087138167819
2013-12-01,0.012287194670614232
2014-01-01,0.0017548990933022868
2014-02-01,-0.07467153284671535
2014-03-01,-0.028161236885698493
2014-04-01,0.10008116883116891
2014-05-01,0.05614992990481804
2014-06-01,0.10646919100181651
2014-07-01,-0.024371764111630112
2014-08-01,0.015208387263784484
2014-09-01,-0.035060878434372444
2014-10-01,0.04637642861861657
2014-11-01,0.07140602310751953
2014-12-01,-0.01814967589864458
2015-01-01,-0.09305605569559472
2015-02-01,0.19511630215398856
2015-03-01,0.06926910299003342
2015-04-01,-0.03132929418466168
2015-05-01,-0.04298086175558635
2015-06-01,-0.04340297173500174
2015-07-01,0.08531386861313872
2015-08-01,-0.022866673840525098
2015-09-01,-0.03171631518088225
2015-10-01,0.08581177139607621
2015-11-01,-0.01874934534408701
2015-12-01,-0.022736976942784093
2016-01-01,-0.0641179683233205
2016-02-01,0.04785247432306239
2016-03-01,0.12736689685898872
2016-04-01,0.048461196462974865
2016-05-01,0.031568036185450454
2016-06-01,0.044304375628025916
