,Monthly Return ($)
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,-0.12192351382052247
2007-03-01,-0.17205692108667536
2007-04-01,-0.05260416666666656
2007-05-01,0.23309510720175908
2007-06-01,-0.1105662059741418
2007-07-01,-0.03909774436090219
2007-08-01,-0.036515388628064804
2007-09-01,0.06442880346507862
2007-10-01,-0.03153611393692779
2007-11-01,0.06880252100840356
2007-12-01,-0.017690417690417792
2008-01-01,-0.10455227613806906
2008-02-01,-0.046368715083798806
2008-03-01,-0.08084358523725843
2008-04-01,0.06628425748884648
2008-05-01,0.20083682008368187
2008-06-01,-0.06371329019412653
2008-07-01,-0.055821371610845105
2008-08-01,0.14695945945945943
2008-09-01,-0.04221894943544424
2008-10-01,-0.2721681189133779
2008-11-01,-0.04295774647887318
2008-12-01,-0.030169242089771897
2009-01-01,-0.27086494688922613
2009-02-01,-0.12278876170655562
2009-03-01,-0.0011862396204033177
2009-04-01,0.32660332541567705
2009-05-01,-0.07699194270367049
2009-06-01,0.06401551891367596
2009-07-01,-0.021877848678213296
2009-08-01,0.12954333643988813
2009-09-01,0.2541254125412542
2009-10-01,-0.10131578947368414
2009-11-01,0.0959004392386531
2009-12-01,0.11756847027388106
2010-01-01,-0.13927077106993424
2010-02-01,0.0986111111111112
2010-03-01,-0.06526548672566379
2010-04-01,0.1841081994928151
2010-05-01,-0.03940605368360939
2010-06-01,-0.09453032104637338
2010-07-01,0.05778069599474711
2010-08-01,0.34450651769087526
2010-09-01,0.11449676823638044
2010-10-01,-0.06793703396851702
2010-11-01,0.2737777777777777
2010-12-01,0.1032798325191906
2011-01-01,0.09582542694497143
2011-02-01,0.6427128427128428
2011-03-01,0.013352073085031613
2011-04-01,0.20423023578363364
2011-05-01,0.08191765044630017
2011-06-01,-0.03246839654025302
2011-07-01,-0.17219089533764265
2011-08-01,-0.036717062634989195
2011-09-01,-0.2507761296998965
2011-10-01,0.21685082872928185
2011-11-01,-0.2748770336738555
2011-12-01,-0.1163579441690582
2012-01-01,0.5586064363743728
2012-02-01,-0.0030308770600492307
2012-03-01,-0.01102033060991836
2012-04-01,-0.07012487992315075
2012-05-01,-0.11570247933884303
2012-06-01,0.0184579439252337
2012-07-01,0.1890341821518695
2012-08-01,0.18637854524406716
2012-09-01,-0.06814116116441704
2012-10-01,-0.07242582897033156
2012-11-01,0.11194731890874898
2012-12-01,0.1277495769881558
2013-01-01,-0.017554388597149306
2013-02-01,-0.09453268173488094
2013-03-01,0.12008770450328887
2013-04-01,-0.04276464387893386
2013-05-01,-0.06717004876514088
2013-06-01,0.02411467116357513
2013-07-01,0.002799275481640162
2013-08-01,-0.11724137931034484
2013-09-01,0.04817708333333348
2013-10-01,0.1760425909494232
2013-11-01,0.0943111513505357
2013-12-01,0.07018753447324877
2014-01-01,-0.13838422883649004
2014-02-01,0.07327650665470298
2014-03-01,-0.009614044865542626
2014-04-01,-0.09074282498593134
2014-05-01,-0.023673216772396644
2014-06-01,0.09033280507131525
2014-07-01,-0.02107558139534893
2014-08-01,0.019747587230883656
2014-09-01,0.0014560279557367384
2014-10-01,0.06731608025588831
2014-11-01,-0.01798120147118909
2014-12-01,0.03925648494936884
2015-01-01,-0.0037373198077950143
2015-02-01,0.284833869239014
2015-03-01,-0.033368091762252416
2015-04-01,-0.04444444444444451
2015-05-01,0.07067058026642581
