,Monthly Return ($)
2000-01-01,-0.16051895192063093
2000-02-01,-0.0757575757575758
2000-03-01,0.11672131147540998
2000-04-01,0.029359953024075125
2000-05-01,0.03223046206503133
2000-06-01,-0.06327714838353138
2000-07-01,0.03244837758112107
2000-08-01,-0.0248571428571428
2000-09-01,0.08409024318781122
2000-10-01,-0.08621621621621611
2000-11-01,-0.018337769890565014
2000-12-01,0.11871045495631227
2001-01-01,0.00188526797737687
2001-02-01,0.04865591397849456
2001-03-01,-0.017687772366059895
2001-04-01,-0.05662839248434237
2001-05-01,0.13720608575380355
2001-06-01,0.09073218195086374
2001-07-01,-0.0267618198037467
2001-08-01,-0.022685609532538953
2001-09-01,-0.028135990621336315
2001-10-01,-0.05790108564535601
2001-11-01,0.1088348271446864
2001-12-01,0.011547344110854452
2002-01-01,-0.2682648401826484
2002-02-01,-0.002496099843993682
2002-03-01,-0.00781983109164841
2002-04-01,-0.029003783102143688
2002-05-01,0.006493506493506551
2002-06-01,-0.004838709677419284
2002-07-01,-0.03565640194489472
2002-08-01,-0.06554621848739495
2002-09-01,-0.10107913669064761
2002-10-01,0.1288515406162467
2002-11-01,0.17298830202056026
2002-12-01,-0.002417648836506636
2003-01-01,-0.03938200545289294
2003-02-01,0.11005991800693793
2003-03-01,0.08664772727272729
2003-04-01,0.0418300653594772
2003-05-01,-0.008782936010037656
2003-06-01,-0.06101265822784796
2003-07-01,-0.013211108115395054
2003-08-01,0.010928961748633892
2003-09-01,-0.02972972972972976
2003-10-01,0.0651810584958219
2003-11-01,-0.03765690376569053
2003-12-01,0.07445652173913042
2004-01-01,0.0528578654527061
2004-02-01,0.07734806629834257
2004-03-01,-0.004905239687848395
2004-04-01,0.019717678691463014
2004-05-01,-0.02724675895407591
2004-06-01,0.09012875536480669
2004-07-01,-0.33133029423953575
2004-08-01,-0.04462348930895588
2004-09-01,0.09795653584171271
2004-10-01,-0.02363367799113747
2004-11-01,-0.08835098335854763
2004-12-01,0.011948224361101767
2005-01-01,-0.07510659232535255
2005-02-01,-0.04078014184397161
2005-03-01,0.0661737523105359
2005-04-01,0.029819694868238544
2005-05-01,-0.03367003367003363
2005-06-01,0.08083623693379782
2005-07-01,0.10541586073500975
2005-08-01,0.005832604257801188
2005-09-01,0.06407654392577555
2005-10-01,0.06267029972752036
2005-11-01,0.05769230769230771
2005-12-01,0.02351515151515149
2006-01-01,-0.01279014684983415
2006-02-01,0.048464491362764095
2006-03-01,-0.06773455377574378
2006-04-01,-0.0402552773686794
2006-05-01,-0.0552429667519182
2006-06-01,0.011911207363291876
2006-07-01,0.09684323167469233
2006-08-01,-0.00024390243902439046
2006-09-01,0.04757257867772613
2006-10-01,0.010013972985561281
2006-11-01,-0.0062255014987318
2006-12-01,-0.04083526682134564
2007-01-01,-0.32317368166424776
2007-02-01,-0.005718370264474637
2007-03-01,-0.06074766355140193
2007-04-01,0.0753922694221203
2007-05-01,-0.021708185053380902
2007-06-01,-0.04947253546744268
2007-07-01,0.025258323765786406
2007-08-01,0.054871220604703286
2007-09-01,0.07855626326963905
2007-10-01,0.13943569553805757
2007-11-01,0.05038871292830405
2007-12-01,0.014802631578947567
2008-01-01,-0.07104267963263111
2008-02-01,-0.12532712997964535
2008-03-01,-0.12101063829787229
2008-04-01,0.03895612708018148
2008-05-01,0.09319257371678202
2008-06-01,-0.11588411588411585
2008-07-01,0.09227871939736354
2008-08-01,-0.003103448275862064
2008-09-01,-0.1556554825319959
2008-10-01,-0.005325686194182722
2008-11-01,-0.10502471169686989
2008-12-01,0.13805798435342842
2009-01-01,-0.1726647796198948
2009-02-01,-0.09188660801564041
2009-03-01,0.19321851453175487
2009-04-01,0.2850699142986015
2009-05-01,-0.04352404352404349
2009-06-01,0.05504587155963292
2009-07-01,0.016000000000000014
2009-08-01,0.002738788086271704
2009-09-01,-0.08979173779446903
2009-10-01,-0.08364591147786948
2009-11-01,-0.017601309864920145
2009-12-01,-0.05166666666666664
2010-01-01,0.004393673110720364
2010-02-01,0.13210848643919504
2010-03-01,0.05873261205564151
2010-04-01,-0.08211678832116787
2010-05-01,-0.025049701789264356
2010-06-01,-0.08401305057096242
2010-07-01,0.05387355298308116
2010-08-01,-0.14321926489226866
2010-09-01,0.10157790927021693
2010-10-01,-0.02461951656222028
2010-11-01,0.019274896741624747
2010-12-01,0.12606933813597476
2011-01-01,-0.024790083966413468
2011-02-01,0.06601066010660106
2011-03-01,0.20115384615384624
2011-04-01,0.019852705731668197
2011-05-01,0.06781789638932478
2011-06-01,0.0023522493384300347
2011-07-01,-0.07216192431798196
2011-08-01,0.028770154916218704
2011-09-01,-0.02827289489858631
2011-10-01,-0.0218216318785579
2011-11-01,-0.01810539928871646
2011-12-01,0.014158709252551915
2012-01-01,0.0006493506493505663
2012-02-01,0.00746268656716409
2012-03-01,-0.07246376811594202
2012-04-01,0.05451388888888897
2012-05-01,-0.06651300625617385
2012-06-01,0.16261022927689583
2012-07-01,-0.022754854368931987
2012-08-01,0.018317292766221627
2012-09-01,0.03993902439024399
2012-10-01,0.014365288771621243
2012-11-01,-0.08670520231213874
2012-12-01,-0.017405063291139222
2013-01-01,0.10177133655394521
2013-02-01,0.00847705349313066
2013-03-01,0.05246376811594211
2013-04-01,0.04268796474800318
2013-05-01,-0.05335446381405162
2013-06-01,-0.2575334821428572
2013-07-01,0.044720030063885696
2013-08-01,-0.07194244604316546
2013-09-01,0.04728682170542631
2013-10-01,-0.0177646188008882
2013-11-01,0.05953278070836476
2013-12-01,0.079302987197724
2014-01-01,-0.12981878088962118
2014-02-01,0.029912911775842543
2014-03-01,0.013602941176470651
2014-04-01,0.03155603917301408
2014-05-01,0.09493670886075956
2014-06-01,0.13840719332048823
2014-07-01,-0.05472496473906929
2014-08-01,0.07370934049537459
2014-09-01,-0.0925514174541412
2014-10-01,0.10474732006125587
2014-11-01,0.053784308289437144
2014-12-01,0.01710076295711649
2015-01-01,0.030522503879979457
2015-02-01,-0.0775602409638555
2015-03-01,-0.007346938775510292
2015-04-01,-0.05455043859649111
2015-05-01,0.057407944331690164
2015-06-01,-0.14998629010145326
2015-07-01,-0.030645161290322576
2015-08-01,-0.0569051580698835
2015-09-01,0.09456598447424125
2015-10-01,-0.012250161186331376
2015-11-01,-0.0933420365535248
2015-12-01,-0.027717782577393768
2016-01-01,0.01962236208811552
2016-02-01,0.06681190994916486
2016-03-01,0.1541865214431586
2016-04-01,0.07726334414626979
2016-05-01,0.005748699698877591
2016-06-01,0.08410451823625475
2016-07-01,0.03464725081596787
2016-08-01,-0.06794467362290713
2016-09-01,-0.022910700338453438
2016-10-01,-0.10125233146815893
2016-11-01,-0.021642454788022403
2016-12-01,-0.01575757575757586
2017-01-01,0.10221674876847286
2017-02-01,0.015363128491620248
2017-03-01,-0.018707015130673965
2017-04-01,-0.025511634426689245
2017-05-01,0.004602991944764101
2017-06-01,-0.016036655211912998
2017-07-01,0.06024447031431901
2017-08-01,0.08207521273675544
2017-09-01,-0.013191273465246178
2017-10-01,0.028277634961439535
2017-11-01,0.021749999999999936
2017-12-01,-0.07682896990457555
2018-01-01,-0.07156109196925509
2018-02-01,-0.10191264630316876
2018-03-01,0.04450095359186257
2018-04-01,0.03286670724284835
2018-05-01,-0.019151443724219175
2018-06-01,0.05166716731751264
2018-07-01,0.00285632676378178
2018-08-01,0.028197094844773618
2018-09-01,-0.04376731301939052
2018-10-01,-0.11326767091541146
2018-11-01,0.10976804965697484
2018-12-01,-0.0459228731233442
2019-01-01,0.14779389077445249
2019-02-01,-0.0478494623655914
2019-03-01,0.0011293054771315258
2019-04-01,-0.08403835307388619
2019-05-01,-0.056342364532019684
2019-06-01,0.021207177814029476
2019-07-01,-0.06038338658146969
2019-08-01,0.08296497789867385
2019-09-01,0.016954474097331307
2019-10-01,0.012658227848101111
2019-11-01,-0.02073170731707319
2019-12-01,-0.007783312577833046
2020-01-01,-0.008158142453718265
2020-02-01,-0.03796267004112619
2020-03-01,-0.2173627096349885
2020-04-01,0.015966386554621792
2020-05-01,0.06534325889164605
2020-06-01,0.013198757763975166
2020-07-01,0.08007662835249052
2020-08-01,0.06739978715856676
2020-09-01,-0.10967098703888334
2020-10-01,-0.027248973497573714
2020-11-01,0.05525709900230247
2020-12-01,0.07200000000000006
2021-01-01,0.1421302578018997
2021-02-01,0.033264033264033266
2021-03-01,0.06381144006898531
2021-04-01,0.08403134288030256
2021-05-01,0.08524426719840483
2021-06-01,-0.028020211299954023
2021-07-01,0.03402646502835527
2021-08-01,0.09117915904936025
2021-09-01,-0.0900523560209423
2021-10-01,0.050402761795166784
2021-11-01,-0.004382120946538226
2021-12-01,0.1516285211267605
2022-01-01,-0.12249187846359633
2022-02-01,0.0709930313588849
2022-03-01,0.12667751118340775
