,Monthly Return ($)
2000-01-01,0.06993006993007
2000-02-01,0.008104575163398797
2000-03-01,0.17349585062240647
2000-04-01,-0.024751381215469603
2000-05-01,0.06503512349875362
2000-06-01,-0.03978723404255313
2000-07-01,-0.0015510746731663971
2000-08-01,0.09476253883710606
2000-09-01,-0.05351712953577947
2000-10-01,0.1713428999785822
2000-11-01,0.07771073322362398
2000-12-01,0.0604004071937565
2001-01-01,-0.18928
2001-02-01,0.07183737911979482
2001-03-01,0.015466764868348193
2001-04-01,-0.015412511332728918
2001-05-01,-0.06721915285451197
2001-06-01,-0.052319842053306975
2001-07-01,-0.08000000000000007
2001-08-01,0.0215126811594204
2001-09-01,-0.11948570161826644
2001-10-01,0.04859013091641495
2001-11-01,0.06986794717887168
2001-12-01,-0.06306104129263923
2002-01-01,-0.031137724550898138
2002-02-01,0.06254635352286764
2002-03-01,0.04746393671475113
2002-04-01,-0.06819191470457575
2002-05-01,-0.030989272943981017
2002-06-01,-0.28191881918819184
2002-07-01,-0.046933881466255545
2002-08-01,-0.07189072609633362
2002-09-01,-0.13632842757552288
2002-10-01,0.03587443946188351
2002-11-01,0.029437229437229373
2002-12-01,-0.01766190075693863
2003-01-01,0.014554794520547976
2003-02-01,-0.16075949367088604
2003-03-01,-0.04826546003016596
2003-04-01,-0.12202852614896986
2003-05-01,0.1335740072202165
2003-06-01,0.08598726114649691
2003-07-01,0.04349951124144669
2003-08-01,0.14332552693208434
2003-09-01,-0.060221220811142895
2003-10-01,-0.0802092414995641
2003-11-01,-0.0165876777251186
2003-12-01,0.05590361445783132
2004-01-01,0.031036056595161954
2004-02-01,0.012394864984506482
2004-03-01,-0.10013117621338008
2004-04-01,0.11516034985422752
2004-05-01,-0.016993464052287632
2004-06-01,0.12322695035460995
2004-07-01,-0.16614048934490921
2004-08-01,-0.04401325130146705
2004-09-01,-0.0440594059405941
2004-10-01,-0.055411703780424704
2004-11-01,0.05701754385964919
2004-12-01,0.02385892116182564
2005-01-01,-0.045086119554204496
2005-02-01,-0.023872679045092937
2005-03-01,0.00706521739130439
2005-04-01,0.14894765245547759
2005-05-01,0.033818694222639945
2005-06-01,0.0263516583371195
2005-07-01,0.07569721115537842
2005-08-01,-0.023456790123456805
2005-09-01,0.07880320269700802
2005-10-01,-0.09140625000000002
2005-11-01,-0.00042992261392960085
2005-12-01,0.017634408602150486
2006-01-01,-0.009298393913778513
2006-02-01,0.03711604095563126
2006-03-01,0.03331962155491586
2006-04-01,0.00039808917197436955
2006-05-01,-0.06167926780740152
2006-06-01,0.10262934690415615
2006-07-01,0.07999999999999985
2006-08-01,0.10149572649572658
2006-09-01,-0.018752020691884863
2006-10-01,-0.03261943986820437
2006-11-01,0.04938692098092634
2006-12-01,0.12171372930866609
2007-01-01,0.0425347222222221
2007-02-01,-0.04163197335553703
2007-03-01,0.061106284390385124
2007-04-01,-0.00927947598253287
2007-05-01,-0.050137741046831996
2007-06-01,-0.01305104408352653
2007-07-01,-0.06347340581839556
2007-08-01,-0.004392845936617484
2007-09-01,0.04349196344153805
2007-10-01,0.026880096647538432
2007-11-01,0.0235294117647058
2007-12-01,-0.01695402298850568
2008-01-01,-0.0941245249926923
2008-02-01,-0.0726040658276863
2008-03-01,0.021224773834377375
2008-04-01,0.07666098807495736
2008-05-01,0.0085443037974684
2008-06-01,-0.10417320363978666
2008-07-01,-0.06409807355516639
2008-08-01,-0.014221556886227504
2008-09-01,-0.09946848899012917
2008-10-01,-0.10328836424957843
2008-11-01,0.024917724494593285
2008-12-01,0.09036697247706416
2009-01-01,-0.0984434160706773
2009-02-01,-0.1367242183854409
2009-03-01,0.09135135135135153
2009-04-01,-0.02179296681525511
2009-05-01,0.025822784810126675
2009-06-01,0.005429417571569672
2009-07-01,-0.07069219440353469
2009-08-01,0.006339144215530945
2009-09-01,0.0351706036745405
2009-10-01,0.13235294117647056
2009-11-01,0.0076130765785940024
2009-12-01,-0.05377777777777781
2010-01-01,0.054485674025364084
2010-02-01,0.11002227171492218
2010-03-01,-0.0024077046548957037
2010-04-01,-0.05068382944489136
2010-05-01,-0.061864406779661096
2010-06-01,-0.11201445347786809
2010-07-01,0.04476093591047814
2010-08-01,-0.08519961051606617
2010-09-01,0.12613092070250143
2010-10-01,0.08223062381852553
2010-11-01,0.003930131004366899
2010-12-01,-0.02174858634188781
2011-01-01,-0.08003557136505102
2011-02-01,0.05461575640405991
2011-03-01,0.07882676443629699
2011-04-01,0.032710280373831724
2011-05-01,0.016042780748663166
2011-06-01,-0.053846153846153766
2011-07-01,-0.13692768506632436
2011-08-01,-0.09122459097669822
2011-09-01,-0.09274413529732672
2011-10-01,0.16476247745039108
2011-11-01,0.03252452245740822
2011-12-01,0.052000000000000046
2012-01-01,0.04467680608365021
2012-02-01,-0.024112829845313932
2012-03-01,-0.057808857808857694
2012-04-01,0.005937654626422484
2012-05-01,-0.06443679291687154
2012-06-01,-0.045741324921135695
2012-07-01,-0.14325068870523405
2012-08-01,0.006430868167202508
2012-09-01,0.02811501597444077
2012-10-01,0.013673088875077566
2012-11-01,0.04904966278356837
2012-12-01,0.05727644652250152
2013-01-01,0.0641238253178551
2013-02-01,0.2394805194805194
2013-03-01,0.10435875943000839
2013-04-01,-0.1453510436432638
2013-05-01,0.021758436944937953
2013-06-01,0.02824858757062132
2013-07-01,0.09002535925612842
2013-08-01,0.004265219077161708
2013-09-01,0.23513513513513518
2013-10-01,0.09096592685214122
2013-11-01,0.0020057306590257618
2013-12-01,-0.0686302545038604
2014-01-01,-0.040835124347559204
2014-02-01,0.19878361075544193
2014-03-01,-0.013618157543391352
2014-04-01,-0.07796426637790999
2014-05-01,0.00822078684674099
2014-06-01,0.0
2014-07-01,0.0034944670937682165
2014-08-01,0.009286128845037656
2014-09-01,-0.013801035077630974
2014-10-01,0.01632653061224487
2014-11-01,-0.0005737234652896106
2014-12-01,0.008036739380022695
2015-01-01,-0.0005694760820044165
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,0.0
2017-10-01,0.0
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.0
